
Host: iw-p33-31-r.pace.gatech.edu

Timers On : Mon Apr 23 21:54:21 2018
Timers Off: Mon Apr 23 21:55:47 2018

Wall Time:       86.00 seconds

V: Grid     :       1.14u       0.03s 1.16487500w      1 call
JK: (A|mn)  :       6.88u       0.00s   3.438860w      6 calls
JK: (A|Q)^-1/2:       1.70u       0.07s   1.342850w      6 calls
JK: (Q|mn)  :       2.00u       0.00s   1.997726w      6 calls
HF: Form H  :       0.00u       0.00s 0.00277800w      1 call
HF: Form S/X:       0.02u       0.00s 0.01137900w      1 call
HF: Guess   :       0.88u       0.07s 0.47118500w      1 call
SAD Guess   :       0.87u       0.06s 0.46805400w      1 call
JK: D       :       0.01u       0.00s   0.004392w     46 calls
JK: USO2AO  :       0.00u       0.00s   0.001806w     46 calls
JK: JK      :      15.98u       0.87s   8.954226w     46 calls
JK: J       :       0.90u       0.06s   0.484494w     47 calls
JK: J1      :       0.44u       0.03s   0.227940w     81 calls
JK: J2      :       0.46u       0.03s   0.253022w     81 calls
JK: K       :      14.50u       0.30s   7.924942w     47 calls
JK: K1      :       8.93u       0.00s   4.455528w     81 calls
JK: K2      :       5.57u       0.30s   3.468608w     81 calls
JK: AO2USO  :       0.00u       0.00s   0.000049w     46 calls
DIISManager::add_entry:       0.19u       0.03s   0.352672w     45 calls
DIISManager::extrapolate:       0.84u       0.14s   2.580967w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.64u       0.10s   2.240670w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001224w     44 calls
DIISManager::extrapolate: form new data:       0.20u       0.04s   0.338788w     44 calls
HF: Form G  :      81.08u       1.21s      72.00w     12 calls
RKS: Form V :      65.10u       0.34s      63.04w     12 calls
V: D        :       0.00u       0.00s   0.004183w     12 calls
V: USO2AO   :       0.00u       0.00s   0.000849w     12 calls
V: V        :      65.08u       0.34s      63.04w     12 calls
Properties  :      43.13u       0.26s      42.02w   3444 calls
Points      :      32.52u       0.19s      31.59w   3444 calls
Functional  :      12.16u       0.04s      11.46w   3444 calls
V_XC        :       9.76u       0.03s   9.528783w   3444 calls
LSDA        :       7.83u       0.02s   7.389240w   6888 calls
GGA         :       1.74u       0.00s   1.900785w   3444 calls
V: AO2USO   :       0.00u       0.00s   0.000023w     12 calls
HF: Form F  :       0.00u       0.00s   0.001845w     12 calls
HF: DIIS    :       1.12u       0.17s   2.974176w     12 calls
HF: Form C  :       0.20u       0.01s   0.135303w     12 calls
HF: Form D  :       0.00u       0.00s   0.004713w     12 calls

***********************************************************
