
Host: iw-k30-10.pace.gatech.edu

Timers On : Mon Apr 23 22:09:54 2018
Timers Off: Mon Apr 23 22:12:30 2018

Wall Time:      156.00 seconds

V: Grid     :       2.37u       0.04s 2.40076600w      1 call
JK: (A|mn)  :      20.27u       0.00s      10.14w      6 calls
JK: (A|Q)^-1/2:       6.02u       0.06s   5.541492w      6 calls
JK: (Q|mn)  :       4.13u       0.00s   4.138137w      6 calls
HF: Form H  :       0.01u       0.01s 0.00684000w      1 call
HF: Form S/X:       0.08u       0.00s 0.04334000w      1 call
HF: Guess   :       1.12u       0.05s 0.58526700w      1 call
SAD Guess   :       1.11u       0.05s 0.57908200w      1 call
JK: D       :       0.01u       0.00s   0.013347w     47 calls
JK: USO2AO  :       0.01u       0.00s   0.002420w     47 calls
JK: JK      :      38.32u       0.90s      22.95w     47 calls
JK: J       :       1.26u       0.09s   0.680895w     48 calls
JK: J1      :       0.63u       0.05s   0.345316w     83 calls
JK: J2      :       0.63u       0.04s   0.329573w     83 calls
JK: K       :      35.38u       0.27s      21.16w     48 calls
JK: K1      :      23.97u       0.00s      11.99w     83 calls
JK: K2      :      11.41u       0.27s   9.162173w     83 calls
JK: AO2USO  :       0.00u       0.00s   0.000103w     47 calls
DIISManager::add_entry:       0.11u       0.00s   0.091005w     46 calls
DIISManager::extrapolate:       0.48u       0.11s   0.689366w     45 calls
DIISManager::extrapolate: bMatrix setup:       0.46u       0.08s   0.659538w     45 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.002071w     45 calls
DIISManager::extrapolate: form new data:       0.02u       0.03s   0.027175w     45 calls
HF: Form G  :     146.57u       1.24s     129.24w     12 calls
RKS: Form V :     108.25u       0.34s     106.28w     12 calls
V: D        :       0.03u       0.00s   0.012086w     12 calls
V: USO2AO   :       0.01u       0.00s   0.001018w     12 calls
V: V        :     108.21u       0.34s     106.26w     12 calls
Properties  :      64.44u       0.17s      63.43w   3480 calls
Points      :      43.87u       0.09s      42.96w   3480 calls
Functional  :      21.10u       0.09s      20.69w   3480 calls
V_XC        :      22.64u       0.05s      22.10w   3480 calls
LSDA        :      18.48u       0.01s      17.95w   6960 calls
GGA         :       3.80u       0.03s   3.798069w   3480 calls
V: AO2USO   :       0.00u       0.00s   0.000030w     12 calls
HF: Form F  :       0.00u       0.01s   0.002551w     12 calls
HF: DIIS    :       0.83u       0.12s   0.915572w     12 calls
HF: Form C  :       0.95u       0.04s   0.524436w     12 calls
HF: Form D  :       0.04u       0.00s   0.010936w     12 calls

***********************************************************
