
Host: iw-c39-34-r.pace.gatech.edu

Timers On : Mon Apr 23 21:46:36 2018
Timers Off: Mon Apr 23 21:48:05 2018

Wall Time:       89.00 seconds

V: Grid     :       1.12u       0.03s 1.15849600w      1 call
JK: (A|mn)  :       6.71u       0.00s   3.355905w      6 calls
JK: (A|Q)^-1/2:       1.66u       0.09s   1.308758w      6 calls
JK: (Q|mn)  :       1.87u       0.00s   1.867319w      6 calls
HF: Form H  :       0.00u       0.00s 0.00376900w      1 call
HF: Form S/X:       0.02u       0.00s 0.01013500w      1 call
HF: Guess   :       0.88u       0.07s 0.47106200w      1 call
SAD Guess   :       0.87u       0.07s 0.46791400w      1 call
JK: D       :       0.00u       0.00s   0.004319w     46 calls
JK: USO2AO  :       0.01u       0.00s   0.001743w     46 calls
JK: JK      :      16.02u       0.86s   8.894253w     46 calls
JK: J       :       0.87u       0.06s   0.461469w     47 calls
JK: J1      :       0.42u       0.02s   0.220176w     81 calls
JK: J2      :       0.45u       0.04s   0.237818w     81 calls
JK: K       :      14.61u       0.30s   7.910899w     47 calls
JK: K1      :       9.09u       0.04s   4.554478w     81 calls
JK: K2      :       5.52u       0.26s   3.355650w     81 calls
JK: AO2USO  :       0.00u       0.00s   0.000051w     46 calls
DIISManager::add_entry:       0.37u       0.05s   3.073110w     45 calls
DIISManager::extrapolate:       0.89u       0.11s   8.461608w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.88u       0.11s   8.449749w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001264w     44 calls
DIISManager::extrapolate: form new data:       0.01u       0.00s   0.010338w     44 calls
HF: Form G  :      76.74u       1.15s      67.51w     12 calls
RKS: Form V :      60.71u       0.29s      58.61w     12 calls
V: D        :       0.01u       0.00s   0.004095w     12 calls
V: USO2AO   :       0.00u       0.00s   0.000820w     12 calls
V: V        :      60.70u       0.29s      58.60w     12 calls
Properties  :      39.67u       0.17s      38.25w   3528 calls
Points      :      29.67u       0.12s      28.48w   3528 calls
Functional  :      11.68u       0.05s      11.49w   3528 calls
V_XC        :       9.31u       0.06s   8.829837w   3528 calls
LSDA        :       6.96u       0.05s   6.761120w   7056 calls
GGA         :       2.02u       0.01s   1.840660w   3528 calls
V: AO2USO   :       0.00u       0.00s   0.000023w     12 calls
HF: Form F  :       0.01u       0.00s   0.001701w     12 calls
HF: DIIS    :       1.30u       0.18s      11.57w     12 calls
HF: Form C  :       0.19u       0.00s   0.131990w     12 calls
HF: Form D  :       0.00u       0.00s   0.004701w     12 calls

***********************************************************
