
Host: iw-p33-31-l.pace.gatech.edu

Timers On : Mon Apr 23 22:03:19 2018
Timers Off: Mon Apr 23 22:04:29 2018

Wall Time:       70.00 seconds

V: Grid     :       1.15u       0.02s 1.16496200w      1 call
JK: (A|mn)  :       6.84u       0.00s   3.415600w      6 calls
JK: (A|Q)^-1/2:       1.67u       0.08s   1.308809w      6 calls
JK: (Q|mn)  :       1.77u       0.00s   1.770963w      6 calls
HF: Form H  :       0.01u       0.00s 0.00270600w      1 call
HF: Form S/X:       0.01u       0.00s 0.01046300w      1 call
HF: Guess   :       0.89u       0.06s 0.47313600w      1 call
SAD Guess   :       0.88u       0.06s 0.46990300w      1 call
JK: D       :       0.01u       0.00s   0.003990w     45 calls
JK: USO2AO  :       0.01u       0.00s   0.001633w     45 calls
JK: JK      :      14.07u       0.76s   7.870265w     45 calls
JK: J       :       0.78u       0.04s   0.408340w     46 calls
JK: J1      :       0.36u       0.03s   0.194194w     80 calls
JK: J2      :       0.42u       0.01s   0.211039w     80 calls
JK: K       :      12.76u       0.29s   6.966134w     46 calls
JK: K1      :       7.69u       0.00s   3.840069w     80 calls
JK: K2      :       5.07u       0.29s   3.125295w     80 calls
JK: AO2USO  :       0.00u       0.00s   0.000055w     45 calls
DIISManager::add_entry:       0.36u       0.05s   0.737188w     44 calls
DIISManager::extrapolate:       0.39u       0.06s   0.816901w     43 calls
DIISManager::extrapolate: bMatrix setup:       0.37u       0.06s   0.806490w     43 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.001153w     43 calls
DIISManager::extrapolate: form new data:       0.01u       0.00s   0.009000w     43 calls
HF: Form G  :      65.54u       1.05s      57.41w     11 calls
RKS: Form V :      51.43u       0.29s      49.54w     11 calls
V: D        :       0.00u       0.00s   0.003731w     11 calls
V: USO2AO   :       0.00u       0.00s   0.000750w     11 calls
V: V        :      51.42u       0.29s      49.53w     11 calls
Properties  :      33.02u       0.20s      32.00w   3289 calls
Points      :      25.00u       0.09s      24.18w   3289 calls
Functional  :      11.04u       0.01s      10.49w   3289 calls
V_XC        :       7.33u       0.08s   7.009372w   3289 calls
LSDA        :       5.62u       0.06s   5.320746w   6578 calls
GGA         :       1.57u       0.01s   1.502212w   3289 calls
V: AO2USO   :       0.00u       0.00s   0.000019w     11 calls
HF: Form F  :       0.00u       0.00s   0.001637w     11 calls
HF: DIIS    :       0.78u       0.12s   1.590120w     11 calls
HF: Form C  :       0.21u       0.01s   0.120422w     11 calls
HF: Form D  :       0.00u       0.00s   0.004056w     11 calls

***********************************************************
