
Host: rich133-b14-25-l.pace.gatech.edu

Timers On : Mon Apr 23 21:57:44 2018
Timers Off: Mon Apr 23 21:59:00 2018

Wall Time:       76.00 seconds

V: Grid     :       1.17u       0.02s 1.18739100w      1 call
JK: (A|mn)  :       7.14u       0.00s   3.566468w      6 calls
JK: (A|Q)^-1/2:       2.17u       0.06s   1.784006w      6 calls
JK: (Q|mn)  :       2.66u       0.00s   2.661346w      6 calls
HF: Form H  :       0.00u       0.00s 0.00421800w      1 call
HF: Form S/X:       0.02u       0.00s 0.01271500w      1 call
HF: Guess   :       1.02u       0.09s 0.55077300w      1 call
SAD Guess   :       1.01u       0.09s 0.54803700w      1 call
JK: D       :       0.00u       0.00s   0.005335w     47 calls
JK: USO2AO  :       0.00u       0.00s   0.001081w     47 calls
JK: JK      :      16.95u       0.68s      10.05w     47 calls
JK: J       :       0.69u       0.04s   0.360676w     48 calls
JK: J1      :       0.35u       0.03s   0.175432w     83 calls
JK: J2      :       0.34u       0.01s   0.182533w     83 calls
JK: K       :      15.49u       0.30s   9.122796w     48 calls
JK: K1      :       8.49u       0.01s   4.256124w     83 calls
JK: K2      :       6.99u       0.29s   4.865911w     83 calls
JK: AO2USO  :       0.00u       0.00s   0.000047w     47 calls
DIISManager::add_entry:       0.14u       0.02s   0.155908w     46 calls
DIISManager::extrapolate:       0.49u       0.05s   1.913885w     45 calls
DIISManager::extrapolate: bMatrix setup:       0.48u       0.04s   1.902720w     45 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001343w     45 calls
DIISManager::extrapolate: form new data:       0.01u       0.01s   0.009567w     45 calls
HF: Form G  :      71.10u       0.95s      62.10w     12 calls
RKS: Form V :      54.13u       0.27s      52.05w     12 calls
V: D        :       0.02u       0.00s   0.005046w     12 calls
V: USO2AO   :       0.00u       0.00s   0.000527w     12 calls
V: V        :      54.11u       0.27s      52.04w     12 calls
Properties  :      33.48u       0.13s      32.00w   3504 calls
Points      :      23.36u       0.11s      22.33w   3504 calls
Functional  :      10.79u       0.05s      10.69w   3504 calls
V_XC        :       9.79u       0.07s   9.319422w   3504 calls
LSDA        :       8.03u       0.05s   7.661651w   7008 calls
GGA         :       1.60u       0.01s   1.511948w   3504 calls
V: AO2USO   :       0.00u       0.00s   0.000016w     12 calls
HF: Form F  :       0.00u       0.00s   0.001508w     12 calls
HF: DIIS    :       0.71u       0.08s   2.122311w     12 calls
HF: Form C  :       0.27u       0.01s   0.163107w     12 calls
HF: Form D  :       0.01u       0.00s   0.005190w     12 calls

***********************************************************
