
Host: iw-p31-30-l.pace.gatech.edu

Timers On : Mon Apr 23 21:45:44 2018
Timers Off: Mon Apr 23 21:47:47 2018

Wall Time:      123.00 seconds

V: Grid     :       1.13u       0.02s 1.15121700w      1 call
JK: (A|mn)  :       7.15u       0.00s   3.574666w      6 calls
JK: (A|Q)^-1/2:       2.11u       0.06s   1.762895w      6 calls
JK: (Q|mn)  :       2.98u       0.00s   2.974602w      6 calls
HF: Form H  :       0.00u       0.00s 0.00245400w      1 call
HF: Form S/X:       0.03u       0.00s 0.01447100w      1 call
HF: Guess   :       0.80u       0.07s 0.43375400w      1 call
SAD Guess   :       0.79u       0.07s 0.43079500w      1 call
JK: D       :       0.05u       0.01s   0.007942w     52 calls
JK: USO2AO  :       0.01u       0.00s   0.001756w     52 calls
JK: JK      :      25.70u       1.21s      15.49w     52 calls
JK: J       :       1.13u       0.10s   0.593901w     53 calls
JK: J1      :       0.56u       0.06s   0.278195w     88 calls
JK: J2      :       0.56u       0.04s   0.312040w     88 calls
JK: K       :      23.43u       0.49s      13.98w     53 calls
JK: K1      :      12.88u       0.00s   6.454050w     88 calls
JK: K2      :      10.55u       0.49s   7.520564w     88 calls
JK: AO2USO  :       0.00u       0.00s   0.000063w     52 calls
DIISManager::add_entry:       0.37u       0.07s   6.261137w     51 calls
DIISManager::extrapolate:       0.79u       0.09s   9.009236w     50 calls
DIISManager::extrapolate: bMatrix setup:       0.77u       0.09s   8.988930w     50 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001992w     50 calls
DIISManager::extrapolate: form new data:       0.02u       0.00s   0.017983w     50 calls
HF: Form G  :     107.76u       1.69s      94.50w     17 calls
RKS: Form V :      82.00u       0.47s      79.01w     17 calls
V: D        :       0.02u       0.00s   0.007716w     17 calls
V: USO2AO   :       0.00u       0.00s   0.000866w     17 calls
V: V        :      81.98u       0.47s      79.00w     17 calls
Properties  :      51.52u       0.32s      49.30w   5049 calls
Points      :      36.44u       0.25s      34.76w   5049 calls
Functional  :      15.97u       0.04s      15.66w   5049 calls
V_XC        :      14.44u       0.08s      14.01w   5049 calls
LSDA        :      12.14u       0.07s      11.65w  10098 calls
GGA         :       2.05u       0.01s   2.147480w   5049 calls
V: AO2USO   :       0.00u       0.00s   0.000031w     17 calls
HF: Form F  :       0.00u       0.00s   0.002360w     17 calls
HF: DIIS    :       1.30u       0.18s      15.35w     17 calls
HF: Form C  :       0.38u       0.01s   0.248489w     17 calls
HF: Form D  :       0.02u       0.01s   0.007825w     17 calls

***********************************************************
