
Host: iw-k30-12.pace.gatech.edu

Timers On : Mon Apr 23 22:02:18 2018
Timers Off: Mon Apr 23 22:09:02 2018

Wall Time:      404.00 seconds

V: Grid     :       2.44u       0.11s 2.54040000w      1 call
JK: (A|mn)  :      22.58u       0.00s      11.34w      6 calls
JK: (A|Q)^-1/2:       8.70u       0.06s   8.217017w      6 calls
JK: (Q|mn)  :       5.04u       0.00s   5.043944w      6 calls
HF: Form H  :       0.01u       0.01s 0.01000400w      1 call
HF: Form S/X:       0.09u       0.00s 0.05018700w      1 call
HF: Guess   :       1.10u       0.05s 0.57392400w      1 call
SAD Guess   :       1.08u       0.05s 0.56771800w      1 call
JK: D       :       0.03u       0.00s   0.027922w     54 calls
JK: USO2AO  :       0.01u       0.01s   0.010868w     54 calls
JK: JK      :     117.73u       3.19s      73.04w     54 calls
JK: J       :       4.99u       0.02s   4.827844w     55 calls
JK: J1      :       2.62u       0.02s   2.488951w     90 calls
JK: J2      :       2.32u       0.00s   2.312947w     90 calls
JK: K       :     105.90u       0.52s      62.12w     55 calls
JK: K1      :      81.85u       0.01s      41.36w     90 calls
JK: K2      :      24.03u       0.51s      20.76w     90 calls
JK: AO2USO  :       0.00u       0.00s   0.000137w     54 calls
DIISManager::add_entry:       0.03u       0.03s   0.034357w     53 calls
DIISManager::extrapolate:       0.66u       0.13s   0.997280w     52 calls
DIISManager::extrapolate: bMatrix setup:       0.60u       0.11s   0.931225w     52 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.003427w     52 calls
DIISManager::extrapolate: form new data:       0.06u       0.02s   0.061825w     52 calls
HF: Form G  :     418.52u       3.85s     370.90w     19 calls
RKS: Form V :     300.73u       0.65s     297.80w     19 calls
V: D        :       0.04u       0.00s   0.022727w     19 calls
V: USO2AO   :       0.00u       0.00s   0.004361w     19 calls
V: V        :     300.64u       0.65s     297.76w     19 calls
Properties  :     194.17u       0.52s     191.20w   5472 calls
Points      :     127.50u       0.41s     125.51w   5472 calls
Functional  :      32.29u       0.02s      32.27w   5472 calls
V_XC        :      73.95u       0.05s      74.13w   5472 calls
LSDA        :      52.73u       0.01s      52.95w  10944 calls
GGA         :      19.77u       0.04s      19.69w   5472 calls
V: AO2USO   :       0.00u       0.00s   0.000077w     19 calls
HF: Form F  :       0.04u       0.01s   0.010850w     19 calls
HF: DIIS    :       1.29u       0.23s   1.342344w     19 calls
HF: Form C  :       1.69u       0.12s   0.926828w     19 calls
HF: Form D  :       0.05u       0.00s   0.023885w     19 calls

***********************************************************
