
Host: iw-h29-21.pace.gatech.edu

Timers On : Mon Apr 23 21:45:11 2018
Timers Off: Mon Apr 23 21:47:37 2018

Wall Time:      146.00 seconds

V: Grid     :       2.12u       0.03s 2.15566800w      1 call
JK: (A|mn)  :      16.99u       0.00s   8.505536w      6 calls
JK: (A|Q)^-1/2:       5.21u       0.06s   4.823389w      6 calls
JK: (Q|mn)  :       3.78u       0.00s   3.783669w      6 calls
HF: Form H  :       0.00u       0.00s 0.00591000w      1 call
HF: Form S/X:       0.07u       0.00s 0.03780300w      1 call
HF: Guess   :       0.82u       0.09s 0.45529600w      1 call
SAD Guess   :       0.82u       0.09s 0.45189500w      1 call
JK: D       :       0.01u       0.01s   0.011064w     46 calls
JK: USO2AO  :       0.02u       0.00s   0.002239w     46 calls
JK: JK      :      33.53u       1.00s      20.24w     46 calls
JK: J       :       1.19u       0.12s   0.669407w     47 calls
JK: J1      :       0.60u       0.07s   0.342443w     82 calls
JK: J2      :       0.57u       0.05s   0.321930w     82 calls
JK: K       :      30.95u       0.40s      18.62w     47 calls
JK: K1      :      21.08u       0.02s      10.54w     82 calls
JK: K2      :       9.87u       0.38s   8.077675w     82 calls
JK: AO2USO  :       0.00u       0.00s   0.000080w     46 calls
DIISManager::add_entry:       0.37u       0.03s   5.000686w     45 calls
DIISManager::extrapolate:       0.24u       0.06s   7.942955w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.23u       0.04s   7.924423w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.001809w     44 calls
DIISManager::extrapolate: form new data:       0.00u       0.02s   0.016270w     44 calls
HF: Form G  :     123.92u       1.42s     109.04w     11 calls
RKS: Form V :      90.39u       0.41s      88.79w     11 calls
V: D        :       0.02u       0.00s   0.010889w     11 calls
V: USO2AO   :       0.00u       0.00s   0.001057w     11 calls
V: V        :      90.35u       0.41s      88.77w     11 calls
Properties  :      54.18u       0.30s      52.82w   3256 calls
Points      :      36.59u       0.19s      35.57w   3256 calls
Functional  :      17.05u       0.04s      17.01w   3256 calls
V_XC        :      19.03u       0.06s      18.90w   3256 calls
LSDA        :      15.43u       0.03s      15.36w   6512 calls
GGA         :       3.32u       0.02s   3.243017w   3256 calls
V: AO2USO   :       0.00u       0.00s   0.000039w     11 calls
HF: Form F  :       0.00u       0.00s   0.002394w     11 calls
HF: DIIS    :       0.81u       0.12s      13.06w     11 calls
HF: Form C  :       0.69u       0.05s   0.423362w     11 calls
HF: Form D  :       0.00u       0.00s   0.009261w     11 calls

***********************************************************
