
Host: iw-c39-33-l.pace.gatech.edu

Timers On : Mon Apr 23 21:49:54 2018
Timers Off: Mon Apr 23 21:52:11 2018

Wall Time:      137.00 seconds

V: Grid     :       1.14u       0.03s 1.16786100w      1 call
JK: (A|mn)  :       6.81u       0.00s   3.398820w      6 calls
JK: (A|Q)^-1/2:       1.72u       0.06s   1.338576w      6 calls
JK: (Q|mn)  :       1.95u       0.00s   1.948484w      6 calls
HF: Form H  :       0.00u       0.00s 0.00435900w      1 call
HF: Form S/X:       0.02u       0.00s 0.01076700w      1 call
HF: Guess   :       0.90u       0.04s 0.47415300w      1 call
SAD Guess   :       0.90u       0.04s 0.47104700w      1 call
JK: D       :       0.01u       0.00s   0.006574w     53 calls
JK: USO2AO  :       0.01u       0.00s   0.002671w     53 calls
JK: JK      :      25.51u       1.36s      14.12w     53 calls
JK: J       :       1.41u       0.08s   0.746733w     54 calls
JK: J1      :       0.68u       0.04s   0.355036w     88 calls
JK: J2      :       0.70u       0.04s   0.386439w     88 calls
JK: K       :      23.28u       0.48s      12.58w     54 calls
JK: K1      :      14.73u       0.00s   7.367348w     88 calls
JK: K2      :       8.55u       0.48s   5.207593w     88 calls
JK: AO2USO  :       0.00u       0.00s   0.000065w     53 calls
DIISManager::add_entry:       0.36u       0.05s   2.868922w     52 calls
DIISManager::extrapolate:       0.94u       0.13s   4.909848w     51 calls
DIISManager::extrapolate: bMatrix setup:       0.90u       0.12s   4.888338w     51 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001747w     51 calls
DIISManager::extrapolate: form new data:       0.04u       0.01s   0.019446w     51 calls
HF: Form G  :     124.73u       1.94s     110.13w     19 calls
RKS: Form V :      99.20u       0.59s      95.99w     19 calls
V: D        :       0.02u       0.00s   0.006395w     19 calls
V: USO2AO   :       0.01u       0.00s   0.001265w     19 calls
V: V        :      99.17u       0.59s      95.98w     19 calls
Properties  :      65.04u       0.39s      62.67w   5510 calls
Points      :      48.21u       0.27s      46.65w   5510 calls
Functional  :      18.59u       0.07s      18.38w   5510 calls
V_XC        :      15.48u       0.13s      14.88w   5510 calls
LSDA        :      11.82u       0.05s      11.38w  11020 calls
GGA         :       3.27u       0.03s   3.112309w   5510 calls
V: AO2USO   :       0.00u       0.00s   0.000031w     19 calls
HF: Form F  :       0.00u       0.00s   0.002775w     19 calls
HF: DIIS    :       1.42u       0.18s   7.840898w     19 calls
HF: Form C  :       0.31u       0.02s   0.209127w     19 calls
HF: Form D  :       0.01u       0.00s   0.007266w     19 calls

***********************************************************
