
Host: rich133-c34-14-r.pace.gatech.edu

Timers On : Mon Apr 23 21:47:32 2018
Timers Off: Mon Apr 23 21:49:20 2018

Wall Time:      108.00 seconds

V: Grid     :       0.68u       0.02s 0.70242600w      1 call
JK: (A|mn)  :       4.79u       0.00s   2.389090w      6 calls
JK: (A|Q)^-1/2:       1.14u       0.06s   0.894006w      6 calls
JK: (Q|mn)  :       1.49u       0.00s   1.486114w      6 calls
HF: Form H  :       0.00u       0.01s 0.69434300w      1 call
HF: Form S/X:       0.01u       0.00s 0.00836700w      1 call
HF: Guess   :       0.37u       0.02s 0.19543700w      1 call
SAD Guess   :       0.36u       0.02s 0.19309100w      1 call
JK: D       :       0.00u       0.00s   0.004736w     51 calls
JK: USO2AO  :       0.01u       0.00s   0.002271w     51 calls
JK: JK      :      16.56u       1.03s   8.860473w     51 calls
JK: J       :       1.13u       0.06s   0.612772w     52 calls
JK: J1      :       0.55u       0.02s   0.292436w     86 calls
JK: J2      :       0.57u       0.04s   0.316530w     86 calls
JK: K       :      14.72u       0.32s   7.579558w     52 calls
JK: K1      :       8.09u       0.00s   4.036897w     86 calls
JK: K2      :       6.61u       0.31s   3.541811w     86 calls
JK: AO2USO  :       0.00u       0.00s   0.000044w     51 calls
DIISManager::add_entry:       0.21u       0.04s   1.672415w     50 calls
DIISManager::extrapolate:       1.29u       0.17s      32.79w     49 calls
DIISManager::extrapolate: bMatrix setup:       1.09u       0.14s      17.56w     49 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001187w     49 calls
DIISManager::extrapolate: form new data:       0.20u       0.03s      15.23w     49 calls
HF: Form G  :      73.57u       1.44s      62.86w     17 calls
RKS: Form V :      57.00u       0.41s      53.99w     17 calls
V: D        :       0.01u       0.00s   0.004471w     17 calls
V: USO2AO   :       0.00u       0.00s   0.001085w     17 calls
V: V        :      56.98u       0.41s      53.98w     17 calls
Properties  :      37.71u       0.27s      35.60w   4981 calls
Points      :      28.32u       0.24s      26.78w   4981 calls
Functional  :      10.34u       0.04s      10.10w   4981 calls
V_XC        :       8.89u       0.10s   8.247788w   4981 calls
LSDA        :       7.32u       0.06s   6.773952w   9962 calls
GGA         :       1.41u       0.02s   1.333113w   4981 calls
V: AO2USO   :       0.00u       0.00s   0.000023w     17 calls
HF: Form F  :       0.00u       0.00s   0.002126w     17 calls
HF: DIIS    :       1.59u       0.21s      34.51w     17 calls
HF: Form C  :       0.19u       0.00s   0.132269w     17 calls
HF: Form D  :       0.00u       0.00s   0.003918w     17 calls

***********************************************************
