
Host: iw-c39-34-r.pace.gatech.edu

Timers On : Mon Apr 23 22:03:19 2018
Timers Off: Mon Apr 23 22:04:38 2018

Wall Time:       79.00 seconds

V: Grid     :       1.14u       0.03s 1.16618700w      1 call
JK: (A|mn)  :       6.83u       0.00s   3.414858w      6 calls
JK: (A|Q)^-1/2:       1.70u       0.07s   1.322664w      6 calls
JK: (Q|mn)  :       1.77u       0.00s   1.761159w      6 calls
HF: Form H  :       0.00u       0.00s 0.45730300w      1 call
HF: Form S/X:       0.02u       0.00s 0.01070100w      1 call
HF: Guess   :       0.89u       0.07s 0.47813700w      1 call
SAD Guess   :       0.89u       0.07s 0.47493200w      1 call
JK: D       :       0.01u       0.00s   0.004358w     46 calls
JK: USO2AO  :       0.00u       0.00s   0.001741w     46 calls
JK: JK      :      15.35u       0.85s   8.607144w     46 calls
JK: J       :       0.80u       0.06s   0.436618w     47 calls
JK: J1      :       0.38u       0.02s   0.206955w     81 calls
JK: J2      :       0.41u       0.04s   0.226375w     81 calls
JK: K       :      13.97u       0.29s   7.638354w     47 calls
JK: K1      :       8.47u       0.00s   4.245414w     81 calls
JK: K2      :       5.50u       0.29s   3.392122w     81 calls
JK: AO2USO  :       0.00u       0.00s   0.000052w     46 calls
DIISManager::add_entry:       0.35u       0.05s   0.646505w     45 calls
DIISManager::extrapolate:       0.55u       0.11s   2.686993w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.54u       0.10s   2.675590w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001320w     44 calls
DIISManager::extrapolate: form new data:       0.01u       0.01s   0.009806w     44 calls
HF: Form G  :      73.61u       1.14s      64.83w     12 calls
RKS: Form V :      58.25u       0.29s      56.22w     12 calls
V: D        :       0.00u       0.00s   0.004150w     12 calls
V: USO2AO   :       0.00u       0.00s   0.000851w     12 calls
V: V        :      58.23u       0.29s      56.21w     12 calls
Properties  :      37.70u       0.16s      36.54w   3504 calls
Points      :      28.30u       0.12s      27.41w   3504 calls
Functional  :      11.80u       0.06s      11.49w   3504 calls
V_XC        :       8.67u       0.06s   8.150372w   3504 calls
LSDA        :       6.37u       0.02s   6.100105w   7008 calls
GGA         :       2.09u       0.02s   1.826808w   3504 calls
V: AO2USO   :       0.00u       0.00s   0.000022w     12 calls
HF: Form F  :       0.00u       0.00s   0.001832w     12 calls
HF: DIIS    :       0.98u       0.16s   3.373734w     12 calls
HF: Form C  :       0.19u       0.01s   0.134699w     12 calls
HF: Form D  :       0.00u       0.00s   0.004632w     12 calls

***********************************************************
