
Host: iw-h29-21.pace.gatech.edu

Timers On : Mon Apr 23 21:28:54 2018
Timers Off: Mon Apr 23 21:31:40 2018

Wall Time:      166.00 seconds

V: Grid     :       2.06u       0.04s 2.10772800w      1 call
JK: (A|mn)  :      17.66u       0.00s   8.837551w      6 calls
JK: (A|Q)^-1/2:       5.79u       0.07s   5.398745w      6 calls
JK: (Q|mn)  :       4.05u       0.00s   4.059204w      6 calls
HF: Form H  :       0.00u       0.00s 0.00375700w      1 call
HF: Form S/X:       0.08u       0.01s 0.04235500w      1 call
HF: Guess   :       0.83u       0.07s 0.45733200w      1 call
SAD Guess   :       0.83u       0.07s 0.45377600w      1 call
JK: D       :       0.04u       0.00s   0.013738w     48 calls
JK: USO2AO  :       0.00u       0.00s   0.002657w     48 calls
JK: JK      :      41.01u       1.21s      24.64w     48 calls
JK: J       :       1.59u       0.10s   0.872523w     49 calls
JK: J1      :       0.85u       0.05s   0.461746w     84 calls
JK: J2      :       0.72u       0.05s   0.404562w     84 calls
JK: K       :      37.62u       0.39s      22.51w     49 calls
JK: K1      :      25.72u       0.02s      12.87w     84 calls
JK: K2      :      11.90u       0.37s   9.643576w     84 calls
JK: AO2USO  :       0.00u       0.00s   0.000087w     48 calls
DIISManager::add_entry:       0.21u       0.02s   1.552298w     47 calls
DIISManager::extrapolate:       0.59u       0.16s   2.989342w     46 calls
DIISManager::extrapolate: bMatrix setup:       0.56u       0.13s   2.960465w     46 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001970w     46 calls
DIISManager::extrapolate: form new data:       0.03u       0.03s   0.026417w     46 calls
HF: Form G  :     153.38u       1.69s     135.04w     13 calls
RKS: Form V :     112.34u       0.48s     110.39w     13 calls
V: D        :       0.03u       0.01s   0.012471w     13 calls
V: USO2AO   :       0.00u       0.00s   0.001162w     13 calls
V: V        :     112.31u       0.47s     110.37w     13 calls
Properties  :      67.36u       0.33s      65.85w   3757 calls
Points      :      44.72u       0.23s      43.92w   3757 calls
Functional  :      20.30u       0.03s      20.43w   3757 calls
V_XC        :      24.60u       0.09s      24.05w   3757 calls
LSDA        :      19.60u       0.08s      19.37w   7514 calls
GGA         :       4.51u       0.00s   4.305023w   3757 calls
V: AO2USO   :       0.00u       0.00s   0.000032w     13 calls
HF: Form F  :       0.00u       0.00s   0.002821w     13 calls
HF: DIIS    :       1.07u       0.18s   4.683377w     13 calls
HF: Form C  :       0.84u       0.03s   0.505584w     13 calls
HF: Form D  :       0.02u       0.00s   0.011006w     13 calls

***********************************************************
