
Host: rich133-c32-20-r.pace.gatech.edu

Timers On : Mon Apr 23 21:37:14 2018
Timers Off: Mon Apr 23 21:38:15 2018

Wall Time:       61.00 seconds

V: Grid     :       0.81u       0.03s 0.82955400w      1 call
JK: (A|mn)  :       5.41u       0.00s   2.705922w      6 calls
JK: (A|Q)^-1/2:       1.32u       0.05s   1.054119w      6 calls
JK: (Q|mn)  :       1.58u       0.00s   1.583329w      6 calls
HF: Form H  :       0.00u       0.00s 0.00391900w      1 call
HF: Form S/X:       0.02u       0.00s 0.00892400w      1 call
HF: Guess   :       0.41u       0.02s 0.22023500w      1 call
SAD Guess   :       0.40u       0.02s 0.21762800w      1 call
JK: D       :       0.01u       0.00s   0.003863w     46 calls
JK: USO2AO  :       0.01u       0.00s   0.001674w     46 calls
JK: JK      :      12.84u       0.75s   7.094674w     46 calls
JK: J       :       0.83u       0.04s   0.436057w     47 calls
JK: J1      :       0.37u       0.03s   0.208602w     81 calls
JK: J2      :       0.44u       0.01s   0.224634w     81 calls
JK: K       :      11.49u       0.26s   6.173830w     47 calls
JK: K1      :       6.35u       0.00s   3.183271w     81 calls
JK: K2      :       5.14u       0.26s   2.989829w     81 calls
JK: AO2USO  :       0.00u       0.00s   0.000039w     46 calls
DIISManager::add_entry:       0.18u       0.03s   0.575490w     45 calls
DIISManager::extrapolate:       0.98u       0.10s   1.698015w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.97u       0.10s   1.688070w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001085w     44 calls
DIISManager::extrapolate: form new data:       0.01u       0.00s   0.008642w     44 calls
HF: Form G  :      58.05u       1.06s      50.27w     12 calls
RKS: Form V :      45.19u       0.31s      43.17w     12 calls
V: D        :       0.01u       0.00s   0.003758w     12 calls
V: USO2AO   :       0.00u       0.00s   0.000769w     12 calls
V: V        :      45.18u       0.31s      43.16w     12 calls
Properties  :      29.42u       0.12s      27.99w   3540 calls
Points      :      22.05u       0.08s      20.69w   3540 calls
Functional  :       8.91u       0.09s   8.472489w   3540 calls
V_XC        :       6.83u       0.10s   6.673707w   3540 calls
LSDA        :       5.18u       0.06s   5.095073w   7080 calls
GGA         :       1.42u       0.03s   1.419087w   3540 calls
V: AO2USO   :       0.00u       0.00s   0.000017w     12 calls
HF: Form F  :       0.00u       0.00s   0.001567w     12 calls
HF: DIIS    :       1.23u       0.13s   2.308520w     12 calls
HF: Form C  :       0.17u       0.01s   0.112084w     12 calls
HF: Form D  :       0.00u       0.00s   0.004019w     12 calls

***********************************************************
