
Host: iw-p31-29-l.pace.gatech.edu

Timers On : Mon Apr 23 22:11:57 2018
Timers Off: Mon Apr 23 22:13:17 2018

Wall Time:       80.00 seconds

V: Grid     :       1.14u       0.02s 1.15632200w      1 call
JK: (A|mn)  :       7.16u       0.00s   3.573891w      6 calls
JK: (A|Q)^-1/2:       2.17u       0.08s   1.804331w      6 calls
JK: (Q|mn)  :       2.97u       0.00s   2.967539w      6 calls
HF: Form H  :       0.00u       0.00s 1.05538700w      1 call
HF: Form S/X:       0.03u       0.00s 0.01380000w      1 call
HF: Guess   :       0.80u       0.07s 0.43372100w      1 call
SAD Guess   :       0.80u       0.07s 0.43077000w      1 call
JK: D       :       0.03u       0.00s   0.005332w     46 calls
JK: USO2AO  :       0.00u       0.00s   0.001188w     46 calls
JK: JK      :      16.63u       0.79s      10.09w     46 calls
JK: J       :       0.71u       0.07s   0.389844w     47 calls
JK: J1      :       0.33u       0.02s   0.186097w     82 calls
JK: J2      :       0.38u       0.05s   0.201231w     82 calls
JK: K       :      15.17u       0.27s   9.090329w     47 calls
JK: K1      :       8.22u       0.00s   4.107879w     82 calls
JK: K2      :       6.94u       0.27s   4.981697w     82 calls
JK: AO2USO  :       0.00u       0.00s   0.000049w     46 calls
DIISManager::add_entry:       0.34u       0.06s   1.310910w     45 calls
DIISManager::extrapolate:       0.65u       0.10s   4.994117w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.64u       0.09s   3.467614w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001402w     44 calls
DIISManager::extrapolate: form new data:       0.01u       0.01s   1.524826w     44 calls
HF: Form G  :      68.69u       1.11s      60.24w     11 calls
RKS: Form V :      52.02u       0.32s      50.15w     11 calls
V: D        :       0.01u       0.00s   0.005087w     11 calls
V: USO2AO   :       0.00u       0.00s   0.000573w     11 calls
V: V        :      52.00u       0.32s      50.14w     11 calls
Properties  :      32.16u       0.21s      31.23w   3234 calls
Points      :      22.84u       0.14s      22.22w   3234 calls
Functional  :      10.52u       0.04s      10.14w   3234 calls
V_XC        :       9.29u       0.07s   8.753551w   3234 calls
LSDA        :       7.77u       0.04s   7.236766w   6468 calls
GGA         :       1.42u       0.02s   1.389559w   3234 calls
V: AO2USO   :       0.00u       0.00s   0.000018w     11 calls
HF: Form F  :       0.00u       0.00s   0.001511w     11 calls
HF: DIIS    :       1.08u       0.17s   6.357269w     11 calls
HF: Form C  :       0.22u       0.01s   0.159179w     11 calls
HF: Form D  :       0.00u       0.00s   0.004915w     11 calls

***********************************************************
