
Host: iw-h43-28.pace.gatech.edu

Timers On : Mon Apr 23 21:45:11 2018
Timers Off: Mon Apr 23 21:47:38 2018

Wall Time:      147.00 seconds

V: Grid     :       2.11u       0.03s 2.13724100w      1 call
JK: (A|mn)  :      17.13u       0.00s   8.576280w      6 calls
JK: (A|Q)^-1/2:       5.33u       0.09s   5.202994w      6 calls
JK: (Q|mn)  :       4.03u       0.00s   4.025899w      6 calls
HF: Form H  :       0.00u       0.00s 0.00664500w      1 call
HF: Form S/X:       0.07u       0.01s 0.03950100w      1 call
HF: Guess   :       0.86u       0.06s 0.46033400w      1 call
SAD Guess   :       0.85u       0.06s 0.45699600w      1 call
JK: D       :       0.03u       0.00s   0.011219w     46 calls
JK: USO2AO  :       0.00u       0.00s   0.002153w     46 calls
JK: JK      :      33.01u       0.94s      19.78w     46 calls
JK: J       :       1.21u       0.09s   0.636162w     47 calls
JK: J1      :       0.59u       0.07s   0.326374w     82 calls
JK: J2      :       0.62u       0.02s   0.305075w     82 calls
JK: K       :      30.45u       0.35s      18.21w     47 calls
JK: K1      :      20.69u       0.00s      10.35w     82 calls
JK: K2      :       9.76u       0.35s   7.858923w     82 calls
JK: AO2USO  :       0.00u       0.00s   0.000078w     46 calls
DIISManager::add_entry:       0.19u       0.03s   2.408531w     45 calls
DIISManager::extrapolate:       0.91u       0.15s      12.69w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.90u       0.15s      12.67w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.001726w     44 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.016061w     44 calls
HF: Form G  :     123.24u       1.35s     108.36w     11 calls
RKS: Form V :      90.22u       0.41s      88.57w     11 calls
V: D        :       0.00u       0.01s   0.010574w     11 calls
V: USO2AO   :       0.00u       0.00s   0.000960w     11 calls
V: V        :      90.22u       0.40s      88.56w     11 calls
Properties  :      54.06u       0.23s      52.89w   3289 calls
Points      :      36.09u       0.19s      35.61w   3289 calls
Functional  :      16.99u       0.02s      16.78w   3289 calls
V_XC        :      19.13u       0.13s      18.86w   3289 calls
LSDA        :      15.91u       0.08s      15.34w   6578 calls
GGA         :       2.96u       0.04s   3.215567w   3289 calls
V: AO2USO   :       0.00u       0.00s   0.000023w     11 calls
HF: Form F  :       0.00u       0.00s   0.002332w     11 calls
HF: DIIS    :       1.32u       0.20s      15.22w     11 calls
HF: Form C  :       0.58u       0.04s   0.384724w     11 calls
HF: Form D  :       0.01u       0.00s   0.008333w     11 calls

***********************************************************
