
Host: rich133-c32-21-r.pace.gatech.edu

Timers On : Mon Apr 23 21:48:20 2018
Timers Off: Mon Apr 23 21:50:09 2018

Wall Time:      109.00 seconds

V: Grid     :       0.80u       0.03s 0.82810800w      1 call
JK: (A|mn)  :       5.46u       0.00s   2.730810w      6 calls
JK: (A|Q)^-1/2:       1.34u       0.06s   1.075877w      6 calls
JK: (Q|mn)  :       1.75u       0.00s   1.741186w      6 calls
HF: Form H  :       0.00u       0.00s 0.00409300w      1 call
HF: Form S/X:       0.02u       0.01s 0.00964100w      1 call
HF: Guess   :       0.41u       0.02s 0.21997000w      1 call
SAD Guess   :       0.41u       0.02s 0.21734100w      1 call
JK: D       :       0.00u       0.00s   0.005083w     50 calls
JK: USO2AO  :       0.01u       0.00s   0.002173w     50 calls
JK: JK      :      17.83u       1.06s   9.832000w     50 calls
JK: J       :       1.16u       0.08s   0.632516w     51 calls
JK: J1      :       0.56u       0.05s   0.302537w     85 calls
JK: J2      :       0.60u       0.03s   0.326136w     85 calls
JK: K       :      16.03u       0.38s   8.559179w     51 calls
JK: K1      :       9.31u       0.00s   4.636515w     85 calls
JK: K2      :       6.72u       0.38s   3.921741w     85 calls
JK: AO2USO  :       0.00u       0.00s   0.000052w     50 calls
DIISManager::add_entry:       0.55u       0.05s      11.43w     49 calls
DIISManager::extrapolate:       0.94u       0.14s      13.10w     48 calls
DIISManager::extrapolate: bMatrix setup:       0.91u       0.14s      13.07w     48 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.02u       0.00s   0.001417w     48 calls
DIISManager::extrapolate: form new data:       0.01u       0.00s   0.030809w     48 calls
HF: Form G  :      84.92u       1.45s      74.12w     16 calls
RKS: Form V :      67.06u       0.39s      64.27w     16 calls
V: D        :       0.01u       0.00s   0.004967w     16 calls
V: USO2AO   :       0.00u       0.00s   0.001055w     16 calls
V: V        :      67.03u       0.39s      64.27w     16 calls
Properties  :      44.15u       0.28s      42.38w   4592 calls
Points      :      32.21u       0.21s      31.08w   4592 calls
Functional  :      11.53u       0.02s      11.34w   4592 calls
V_XC        :      11.30u       0.07s      10.51w   4592 calls
LSDA        :       8.98u       0.06s   8.283287w   9184 calls
GGA         :       2.11u       0.01s   1.985242w   4592 calls
V: AO2USO   :       0.00u       0.00s   0.000028w     16 calls
HF: Form F  :       0.00u       0.00s   0.002120w     16 calls
HF: DIIS    :       1.56u       0.19s      24.57w     16 calls
HF: Form C  :       0.21u       0.01s   0.148896w     16 calls
HF: Form D  :       0.01u       0.00s   0.005285w     16 calls

***********************************************************
