
Host: rich133-c32-17-r.pace.gatech.edu

Timers On : Mon Apr 23 21:47:39 2018
Timers Off: Mon Apr 23 21:49:04 2018

Wall Time:       85.00 seconds

V: Grid     :       0.81u       0.02s 0.83872400w      1 call
JK: (A|mn)  :       5.44u       0.01s   2.717308w      6 calls
JK: (A|Q)^-1/2:       1.29u       0.07s   1.031305w      6 calls
JK: (Q|mn)  :       1.67u       0.00s   1.677280w      6 calls
HF: Form H  :       0.01u       0.00s 0.00359900w      1 call
HF: Form S/X:       0.01u       0.00s 0.00907100w      1 call
HF: Guess   :       0.41u       0.03s 0.21894200w      1 call
SAD Guess   :       0.40u       0.03s 0.21628100w      1 call
JK: D       :       0.00u       0.00s   0.003874w     46 calls
JK: USO2AO  :       0.00u       0.00s   0.001649w     46 calls
JK: JK      :      13.02u       0.89s   7.211498w     46 calls
JK: J       :       0.82u       0.07s   0.449477w     47 calls
JK: J1      :       0.40u       0.03s   0.215005w     81 calls
JK: J2      :       0.42u       0.03s   0.231512w     81 calls
JK: K       :      11.69u       0.37s   6.282310w     47 calls
JK: K1      :       6.59u       0.00s   3.293628w     81 calls
JK: K2      :       5.10u       0.37s   2.987949w     81 calls
JK: AO2USO  :       0.00u       0.00s   0.000055w     46 calls
DIISManager::add_entry:       0.36u       0.08s   2.533521w     45 calls
DIISManager::extrapolate:       0.82u       0.15s      19.74w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.82u       0.15s      19.73w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001046w     44 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.009392w     44 calls
HF: Form G  :      60.58u       1.39s      52.87w     12 calls
RKS: Form V :      47.57u       0.50s      45.66w     12 calls
V: D        :       0.00u       0.00s   0.003661w     12 calls
V: USO2AO   :       0.00u       0.00s   0.000772w     12 calls
V: V        :      47.56u       0.50s      45.65w     12 calls
Properties  :      31.46u       0.32s      29.94w   3468 calls
Points      :      23.31u       0.24s      22.08w   3468 calls
Functional  :       8.69u       0.08s   8.386584w   3468 calls
V_XC        :       7.39u       0.09s   7.290509w   3468 calls
LSDA        :       5.64u       0.08s   5.722230w   6936 calls
GGA         :       1.63u       0.00s   1.405126w   3468 calls
V: AO2USO   :       0.00u       0.00s   0.000019w     12 calls
HF: Form F  :       0.00u       0.00s   0.001635w     12 calls
HF: DIIS    :       1.26u       0.23s      22.31w     12 calls
HF: Form C  :       0.17u       0.00s   0.111454w     12 calls
HF: Form D  :       0.00u       0.00s   0.004018w     12 calls

***********************************************************
