
Host: rich133-c32-28-r.pace.gatech.edu

Timers On : Mon Apr 23 21:50:58 2018
Timers Off: Mon Apr 23 21:52:43 2018

Wall Time:      105.00 seconds

V: Grid     :       0.83u       0.03s 0.85903600w      1 call
JK: (A|mn)  :       5.65u       0.00s   2.824373w      6 calls
JK: (A|Q)^-1/2:       1.35u       0.06s   1.096823w      6 calls
JK: (Q|mn)  :       1.73u       0.00s   1.734460w      6 calls
HF: Form H  :       0.00u       0.01s 0.00579000w      1 call
HF: Form S/X:       0.02u       0.00s 0.00974000w      1 call
HF: Guess   :       0.42u       0.02s 0.22122700w      1 call
SAD Guess   :       0.41u       0.02s 0.21851900w      1 call
JK: D       :       0.00u       0.00s   0.005564w     51 calls
JK: USO2AO  :       0.00u       0.00s   0.002454w     51 calls
JK: JK      :      23.46u       1.17s      12.74w     51 calls
JK: J       :       1.42u       0.07s   0.761714w     52 calls
JK: J1      :       0.70u       0.04s   0.362831w     86 calls
JK: J2      :       0.71u       0.03s   0.394370w     86 calls
JK: K       :      21.28u       0.43s      11.27w     52 calls
JK: K1      :      14.04u       0.01s   7.029686w     86 calls
JK: K2      :       7.24u       0.42s   4.239633w     86 calls
JK: AO2USO  :       0.00u       0.00s   0.000051w     51 calls
DIISManager::add_entry:       0.24u       0.05s   0.346792w     50 calls
DIISManager::extrapolate:       0.73u       0.12s   3.040206w     49 calls
DIISManager::extrapolate: bMatrix setup:       0.71u       0.11s   3.020533w     49 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001547w     49 calls
DIISManager::extrapolate: form new data:       0.02u       0.01s   0.017809w     49 calls
HF: Form G  :     101.88u       1.64s      88.31w     17 calls
RKS: Form V :      78.43u       0.47s      75.56w     17 calls
V: D        :       0.01u       0.00s   0.005244w     17 calls
V: USO2AO   :       0.00u       0.00s   0.001144w     17 calls
V: V        :      78.42u       0.47s      75.55w     17 calls
Properties  :      51.54u       0.25s      49.71w   5049 calls
Points      :      36.80u       0.15s      34.99w   5049 calls
Functional  :      13.04u       0.04s      12.43w   5049 calls
V_XC        :      13.75u       0.14s      13.36w   5049 calls
LSDA        :      10.12u       0.08s   9.822756w  10098 calls
GGA         :       3.28u       0.04s   3.204582w   5049 calls
V: AO2USO   :       0.00u       0.00s   0.000029w     17 calls
HF: Form F  :       0.00u       0.00s   0.002434w     17 calls
HF: DIIS    :       1.08u       0.17s   3.440176w     17 calls
HF: Form C  :       0.28u       0.00s   0.166454w     17 calls
HF: Form D  :       0.01u       0.00s   0.005932w     17 calls

***********************************************************
