
Host: rich133-c34-32-r.pace.gatech.edu

Timers On : Mon Apr 23 21:48:21 2018
Timers Off: Mon Apr 23 21:50:47 2018

Wall Time:      146.00 seconds

V: Grid     :       0.87u       0.04s 0.89820800w      1 call
JK: (A|mn)  :       6.36u       0.00s   3.175996w      6 calls
JK: (A|Q)^-1/2:       1.53u       0.07s   1.275387w      6 calls
JK: (Q|mn)  :       1.90u       0.00s   1.895264w      6 calls
HF: Form H  :       0.00u       0.01s 0.00663100w      1 call
HF: Form S/X:       0.02u       0.00s 0.01023800w      1 call
HF: Guess   :       0.45u       0.01s 0.23123800w      1 call
SAD Guess   :       0.44u       0.01s 0.22828000w      1 call
JK: D       :       0.00u       0.00s   0.005817w     51 calls
JK: USO2AO  :       0.00u       0.00s   0.002543w     51 calls
JK: JK      :      31.91u       1.39s      17.28w     51 calls
JK: J       :       2.04u       0.13s   1.097052w     52 calls
JK: J1      :       0.99u       0.05s   0.523998w     86 calls
JK: J2      :       1.04u       0.08s   0.565991w     86 calls
JK: K       :      29.07u       0.41s      15.34w     52 calls
JK: K1      :      21.70u       0.02s      10.88w     86 calls
JK: K2      :       7.37u       0.39s   4.463587w     86 calls
JK: AO2USO  :       0.00u       0.00s   0.000064w     51 calls
DIISManager::add_entry:       0.51u       0.08s      11.65w     50 calls
DIISManager::extrapolate:       0.66u       0.13s   7.765274w     49 calls
DIISManager::extrapolate: bMatrix setup:       0.62u       0.13s   7.741909w     49 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.02u       0.00s   0.002017w     49 calls
DIISManager::extrapolate: form new data:       0.02u       0.00s   0.020956w     49 calls
HF: Form G  :     131.66u       1.89s     114.40w     17 calls
RKS: Form V :      99.75u       0.50s      97.11w     17 calls
V: D        :       0.00u       0.00s   0.005618w     17 calls
V: USO2AO   :       0.00u       0.00s   0.001358w     17 calls
V: V        :      99.75u       0.50s      97.10w     17 calls
Properties  :      66.63u       0.31s      64.86w   5015 calls
Points      :      44.96u       0.19s      43.97w   5015 calls
Functional  :      13.43u       0.05s      13.02w   5015 calls
V_XC        :      19.64u       0.08s      19.17w   5015 calls
LSDA        :      13.18u       0.05s      13.24w  10030 calls
GGA         :       5.92u       0.01s   5.411947w   5015 calls
V: AO2USO   :       0.00u       0.00s   0.000039w     17 calls
HF: Form F  :       0.00u       0.00s   0.003238w     17 calls
HF: DIIS    :       1.30u       0.23s      19.47w     17 calls
HF: Form C  :       0.28u       0.01s   0.183766w     17 calls
HF: Form D  :       0.00u       0.00s   0.008370w     17 calls

***********************************************************
