
Host: iw-c39-34-r.pace.gatech.edu

Timers On : Mon Apr 23 21:49:15 2018
Timers Off: Mon Apr 23 21:50:44 2018

Wall Time:       89.00 seconds

V: Grid     :       1.13u       0.02s 1.15034000w      1 call
JK: (A|mn)  :       6.84u       0.00s   3.415870w      6 calls
JK: (A|Q)^-1/2:       1.69u       0.09s   1.334231w      6 calls
JK: (Q|mn)  :       1.91u       0.00s   1.910045w      6 calls
HF: Form H  :       0.01u       0.00s 0.00430900w      1 call
HF: Form S/X:       0.02u       0.00s 0.01021600w      1 call
HF: Guess   :       0.88u       0.06s 0.47118400w      1 call
SAD Guess   :       0.88u       0.06s 0.46802400w      1 call
JK: D       :       0.00u       0.00s   0.004314w     46 calls
JK: USO2AO  :       0.01u       0.00s   0.001722w     46 calls
JK: JK      :      15.55u       0.77s   8.636547w     46 calls
JK: J       :       0.87u       0.05s   0.466950w     47 calls
JK: J1      :       0.42u       0.02s   0.222016w     81 calls
JK: J2      :       0.45u       0.03s   0.241526w     81 calls
JK: K       :      14.08u       0.28s   7.644149w     47 calls
JK: K1      :       8.57u       0.01s   4.269004w     81 calls
JK: K2      :       5.51u       0.27s   3.374353w     81 calls
JK: AO2USO  :       0.00u       0.00s   0.000046w     46 calls
DIISManager::add_entry:       0.41u       0.06s   2.742419w     45 calls
DIISManager::extrapolate:       0.58u       0.09s   2.979725w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.57u       0.08s   2.863469w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.001246w     44 calls
DIISManager::extrapolate: form new data:       0.00u       0.01s   0.114749w     44 calls
HF: Form G  :      75.67u       1.03s      66.60w     12 calls
RKS: Form V :      60.10u       0.27s      57.96w     12 calls
V: D        :       0.01u       0.00s   0.004094w     12 calls
V: USO2AO   :       0.01u       0.00s   0.000829w     12 calls
V: V        :      60.08u       0.27s      57.95w     12 calls
Properties  :      39.67u       0.19s      37.90w   3492 calls
Points      :      30.08u       0.13s      28.49w   3492 calls
Functional  :      11.69u       0.03s      11.51w   3492 calls
V_XC        :       8.64u       0.04s   8.521627w   3492 calls
LSDA        :       6.83u       0.02s   6.540560w   6984 calls
GGA         :       1.55u       0.00s   1.759244w   3492 calls
V: AO2USO   :       0.00u       0.00s   0.000023w     12 calls
HF: Form F  :       0.00u       0.00s   0.001738w     12 calls
HF: DIIS    :       1.06u       0.16s   5.761492w     12 calls
HF: Form C  :       0.19u       0.01s   0.131682w     12 calls
HF: Form D  :       0.02u       0.00s   0.004435w     12 calls

***********************************************************
