
Host: iw-c39-34-l.pace.gatech.edu

Timers On : Mon Apr 23 21:31:18 2018
Timers Off: Mon Apr 23 21:32:32 2018

Wall Time:       74.00 seconds

V: Grid     :       1.12u       0.02s 1.14554400w      1 call
JK: (A|mn)  :       6.77u       0.00s   3.367447w      6 calls
JK: (A|Q)^-1/2:       1.62u       0.06s   1.260905w      6 calls
JK: (Q|mn)  :       1.69u       0.00s   1.681165w      6 calls
HF: Form H  :       0.00u       0.00s 0.02114100w      1 call
HF: Form S/X:       0.02u       0.00s 0.01012200w      1 call
HF: Guess   :       0.88u       0.06s 0.47078800w      1 call
SAD Guess   :       0.88u       0.06s 0.46767600w      1 call
JK: D       :       0.01u       0.00s   0.004365w     46 calls
JK: USO2AO  :       0.01u       0.00s   0.001785w     46 calls
JK: JK      :      15.03u       0.95s   8.474660w     46 calls
JK: J       :       0.78u       0.09s   0.425192w     47 calls
JK: J1      :       0.37u       0.04s   0.202879w     81 calls
JK: J2      :       0.39u       0.05s   0.219085w     81 calls
JK: K       :      13.73u       0.33s   7.517299w     47 calls
JK: K1      :       8.23u       0.00s   4.118726w     81 calls
JK: K2      :       5.49u       0.33s   3.397803w     81 calls
JK: AO2USO  :       0.00u       0.00s   0.000051w     46 calls
DIISManager::add_entry:       0.19u       0.05s   0.603238w     45 calls
DIISManager::extrapolate:       0.53u       0.10s   1.212254w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.51u       0.09s   1.199879w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001244w     44 calls
DIISManager::extrapolate: form new data:       0.02u       0.01s   0.010864w     44 calls
HF: Form G  :      70.99u       1.25s      62.37w     12 calls
RKS: Form V :      55.94u       0.30s      53.89w     12 calls
V: D        :       0.00u       0.00s   0.004147w     12 calls
V: USO2AO   :       0.00u       0.00s   0.000820w     12 calls
V: V        :      55.93u       0.30s      53.88w     12 calls
Properties  :      36.41u       0.16s      34.72w   3540 calls
Points      :      27.32u       0.08s      26.23w   3540 calls
Functional  :      11.86u       0.08s      11.45w   3540 calls
V_XC        :       7.64u       0.06s   7.681048w   3540 calls
LSDA        :       5.61u       0.03s   5.762726w   7080 calls
GGA         :       1.85u       0.02s   1.716308w   3540 calls
V: AO2USO   :       0.00u       0.00s   0.000023w     12 calls
HF: Form F  :       0.00u       0.00s   0.001788w     12 calls
HF: DIIS    :       0.78u       0.16s   1.855985w     12 calls
HF: Form C  :       0.23u       0.02s   0.130654w     12 calls
HF: Form D  :       0.00u       0.00s   0.004607w     12 calls

***********************************************************
