
Host: iw-p33-31-r.pace.gatech.edu

Timers On : Mon Apr 23 21:43:41 2018
Timers Off: Mon Apr 23 21:44:57 2018

Wall Time:       76.00 seconds

V: Grid     :       1.13u       0.03s 1.15808200w      1 call
JK: (A|mn)  :       6.79u       0.01s   3.396011w      6 calls
JK: (A|Q)^-1/2:       1.75u       0.05s   1.365154w      6 calls
JK: (Q|mn)  :       1.86u       0.00s   1.854732w      6 calls
HF: Form H  :       0.00u       0.01s 0.00463600w      1 call
HF: Form S/X:       0.02u       0.00s 0.01018500w      1 call
HF: Guess   :       0.88u       0.06s 0.47301300w      1 call
SAD Guess   :       0.88u       0.06s 0.46988800w      1 call
JK: D       :       0.01u       0.00s   0.004368w     46 calls
JK: USO2AO  :       0.01u       0.00s   0.001775w     46 calls
JK: JK      :      14.47u       0.84s   8.194052w     46 calls
JK: J       :       0.83u       0.06s   0.447402w     47 calls
JK: J1      :       0.41u       0.04s   0.211881w     81 calls
JK: J2      :       0.42u       0.02s   0.232179w     81 calls
JK: K       :      13.10u       0.30s   7.208604w     47 calls
JK: K1      :       7.58u       0.01s   3.782438w     81 calls
JK: K2      :       5.52u       0.29s   3.425361w     81 calls
JK: AO2USO  :       0.00u       0.00s   0.000048w     46 calls
DIISManager::add_entry:       0.07u       0.01s   0.078541w     45 calls
DIISManager::extrapolate:       0.25u       0.03s   1.048515w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.23u       0.02s   1.035218w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001202w     44 calls
DIISManager::extrapolate: form new data:       0.02u       0.01s   0.011817w     44 calls
HF: Form G  :      73.26u       1.15s      64.93w     12 calls
RKS: Form V :      58.77u       0.31s      56.73w     12 calls
V: D        :       0.00u       0.00s   0.004111w     12 calls
V: USO2AO   :       0.00u       0.00s   0.000832w     12 calls
V: V        :      58.76u       0.31s      56.72w     12 calls
Properties  :      38.16u       0.25s      37.11w   3444 calls
Points      :      28.84u       0.18s      28.14w   3444 calls
Functional  :      12.01u       0.03s      11.45w   3444 calls
V_XC        :       8.54u       0.03s   8.138808w   3444 calls
LSDA        :       6.75u       0.01s   6.321545w   6888 calls
GGA         :       1.59u       0.01s   1.611887w   3444 calls
V: AO2USO   :       0.00u       0.00s   0.000023w     12 calls
HF: Form F  :       0.00u       0.00s   0.001822w     12 calls
HF: DIIS    :       0.39u       0.06s   1.167167w     12 calls
HF: Form C  :       0.24u       0.01s   0.131820w     12 calls
HF: Form D  :       0.00u       0.00s   0.004497w     12 calls

***********************************************************
