
Host: iw-k30-10.pace.gatech.edu

Timers On : Mon Apr 23 21:35:34 2018
Timers Off: Mon Apr 23 21:38:25 2018

Wall Time:      171.00 seconds

V: Grid     :       2.33u       0.03s 2.36559200w      1 call
JK: (A|mn)  :      20.46u       0.00s      10.24w      6 calls
JK: (A|Q)^-1/2:       6.56u       0.07s   6.083384w      6 calls
JK: (Q|mn)  :       4.40u       0.00s   4.398312w      6 calls
HF: Form H  :       0.00u       0.00s 0.00398400w      1 call
HF: Form S/X:       0.08u       0.00s 0.04211500w      1 call
HF: Guess   :       1.11u       0.04s 0.57352100w      1 call
SAD Guess   :       1.10u       0.04s 0.56754800w      1 call
JK: D       :       0.01u       0.00s   0.012469w     46 calls
JK: USO2AO  :       0.00u       0.00s   0.002429w     46 calls
JK: JK      :      37.65u       0.86s      22.42w     46 calls
JK: J       :       1.41u       0.08s   0.751950w     47 calls
JK: J1      :       0.73u       0.02s   0.388693w     82 calls
JK: J2      :       0.67u       0.06s   0.357285w     82 calls
JK: K       :      34.58u       0.24s      20.58w     47 calls
JK: K1      :      23.89u       0.00s      11.96w     82 calls
JK: K2      :      10.69u       0.24s   8.609101w     82 calls
JK: AO2USO  :       0.00u       0.01s   0.000096w     46 calls
DIISManager::add_entry:       0.01u       0.02s   0.020960w     45 calls
DIISManager::extrapolate:       0.78u       0.09s   0.913607w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.74u       0.06s   0.890044w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001982w     44 calls
DIISManager::extrapolate: form new data:       0.04u       0.03s   0.021017w     44 calls
HF: Form G  :     159.86u       1.15s     142.80w     11 calls
RKS: Form V :     122.22u       0.29s     120.38w     11 calls
V: D        :       0.05u       0.00s   0.011667w     11 calls
V: USO2AO   :       0.01u       0.01s   0.001198w     11 calls
V: V        :     122.16u       0.28s     120.36w     11 calls
Properties  :      79.87u       0.19s      78.56w   3322 calls
Points      :      58.25u       0.13s      57.09w   3322 calls
Functional  :      19.48u       0.01s      18.98w   3322 calls
V_XC        :      22.78u       0.04s      22.78w   3322 calls
LSDA        :      18.52u       0.02s      18.38w   6644 calls
GGA         :       3.89u       0.00s   4.001854w   3322 calls
V: AO2USO   :       0.00u       0.00s   0.000028w     11 calls
HF: Form F  :       0.00u       0.00s   0.002805w     11 calls
HF: DIIS    :       1.03u       0.12s   1.061724w     11 calls
HF: Form C  :       0.72u       0.03s   0.458059w     11 calls
HF: Form D  :       0.02u       0.00s   0.009732w     11 calls

***********************************************************
