
Host: rich133-c32-24-r.pace.gatech.edu

Timers On : Mon Apr 23 21:50:58 2018
Timers Off: Mon Apr 23 21:52:38 2018

Wall Time:      100.00 seconds

V: Grid     :       0.85u       0.03s 0.87815200w      1 call
JK: (A|mn)  :       5.75u       0.00s   2.876540w      6 calls
JK: (A|Q)^-1/2:       1.38u       0.04s   1.093809w      6 calls
JK: (Q|mn)  :       1.73u       0.00s   1.723798w      6 calls
HF: Form H  :       0.00u       0.01s 0.00466800w      1 call
HF: Form S/X:       0.01u       0.00s 0.00944200w      1 call
HF: Guess   :       0.42u       0.03s 0.22305700w      1 call
SAD Guess   :       0.41u       0.03s 0.22025300w      1 call
JK: D       :       0.01u       0.00s   0.005581w     51 calls
JK: USO2AO  :       0.00u       0.00s   0.002382w     51 calls
JK: JK      :      22.96u       1.20s      12.49w     51 calls
JK: J       :       1.36u       0.09s   0.728590w     52 calls
JK: J1      :       0.66u       0.02s   0.349190w     86 calls
JK: J2      :       0.70u       0.07s   0.374879w     86 calls
JK: K       :      20.87u       0.42s      11.04w     52 calls
JK: K1      :      13.58u       0.01s   6.780001w     86 calls
JK: K2      :       7.29u       0.41s   4.259333w     86 calls
JK: AO2USO  :       0.00u       0.00s   0.000056w     51 calls
DIISManager::add_entry:       0.18u       0.03s   0.195431w     50 calls
DIISManager::extrapolate:       0.86u       0.14s   4.017291w     49 calls
DIISManager::extrapolate: bMatrix setup:       0.83u       0.14s   3.997068w     49 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001436w     49 calls
DIISManager::extrapolate: form new data:       0.03u       0.00s   0.018504w     49 calls
HF: Form G  :     100.58u       1.68s      87.17w     17 calls
RKS: Form V :      77.61u       0.48s      74.67w     17 calls
V: D        :       0.00u       0.00s   0.005231w     17 calls
V: USO2AO   :       0.00u       0.00s   0.001177w     17 calls
V: V        :      77.61u       0.48s      74.66w     17 calls
Properties  :      51.50u       0.34s      49.16w   4998 calls
Points      :      36.47u       0.23s      34.84w   4998 calls
Functional  :      12.93u       0.04s      12.41w   4998 calls
V_XC        :      13.12u       0.08s      13.05w   4998 calls
LSDA        :       9.96u       0.04s   9.661541w   9996 calls
GGA         :       2.90u       0.04s   3.076134w   4998 calls
V: AO2USO   :       0.00u       0.00s   0.000031w     17 calls
HF: Form F  :       0.00u       0.00s   0.002354w     17 calls
HF: DIIS    :       1.15u       0.17s   4.264878w     17 calls
HF: Form C  :       0.29u       0.01s   0.163440w     17 calls
HF: Form D  :       0.01u       0.00s   0.005651w     17 calls

***********************************************************
