
Host: iw-h43-28.pace.gatech.edu

Timers On : Mon Apr 23 21:55:42 2018
Timers Off: Mon Apr 23 21:58:12 2018

Wall Time:      150.00 seconds

V: Grid     :       2.04u       0.04s 2.07427700w      1 call
JK: (A|mn)  :      16.68u       0.00s   8.340628w      6 calls
JK: (A|Q)^-1/2:       5.01u       0.04s   4.606600w      6 calls
JK: (Q|mn)  :       3.73u       0.00s   3.729628w      6 calls
HF: Form H  :       0.00u       0.00s 0.00586000w      1 call
HF: Form S/X:       0.07u       0.00s 0.03874000w      1 call
HF: Guess   :       0.81u       0.03s 0.42137000w      1 call
SAD Guess   :       0.80u       0.03s 0.41819400w      1 call
JK: D       :       0.04u       0.00s   0.012811w     48 calls
JK: USO2AO  :       0.00u       0.00s   0.002343w     48 calls
JK: JK      :      38.51u       1.19s      23.22w     48 calls
JK: J       :       1.27u       0.13s   0.724209w     49 calls
JK: J1      :       0.63u       0.08s   0.370313w     84 calls
JK: J2      :       0.60u       0.05s   0.348435w     84 calls
JK: K       :      35.71u       0.43s      21.41w     49 calls
JK: K1      :      24.09u       0.01s      12.05w     84 calls
JK: K2      :      11.61u       0.42s   9.361689w     84 calls
JK: AO2USO  :       0.00u       0.00s   0.000078w     48 calls
DIISManager::add_entry:       0.34u       0.05s   0.932752w     47 calls
DIISManager::extrapolate:       0.41u       0.07s   1.342454w     46 calls
DIISManager::extrapolate: bMatrix setup:       0.39u       0.05s   0.846902w     46 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001871w     46 calls
DIISManager::extrapolate: form new data:       0.02u       0.02s   0.493220w     46 calls
HF: Form G  :     141.83u       1.61s     124.52w     13 calls
RKS: Form V :     103.29u       0.42s     101.29w     13 calls
V: D        :       0.02u       0.01s   0.011995w     13 calls
V: USO2AO   :       0.00u       0.00s   0.001119w     13 calls
V: V        :     103.27u       0.41s     101.27w     13 calls
Properties  :      60.63u       0.24s      59.54w   3809 calls
Points      :      40.18u       0.15s      39.67w   3809 calls
Functional  :      20.22u       0.04s      20.00w   3809 calls
V_XC        :      22.37u       0.09s      21.68w   3809 calls
LSDA        :      18.14u       0.06s      17.74w   7618 calls
GGA         :       3.91u       0.01s   3.619305w   3809 calls
V: AO2USO   :       0.00u       0.00s   0.000027w     13 calls
HF: Form F  :       0.00u       0.00s   0.002614w     13 calls
HF: DIIS    :       1.02u       0.15s   2.415415w     13 calls
HF: Form C  :       0.82u       0.05s   0.502249w     13 calls
HF: Form D  :       0.01u       0.01s   0.010787w     13 calls

***********************************************************
