
Host: iw-k30-10.pace.gatech.edu

Timers On : Mon Apr 23 21:41:16 2018
Timers Off: Mon Apr 23 21:43:52 2018

Wall Time:      156.00 seconds

V: Grid     :       2.34u       0.04s 2.37410200w      1 call
JK: (A|mn)  :      20.13u       0.00s      10.06w      6 calls
JK: (A|Q)^-1/2:       6.08u       0.08s   5.627456w      6 calls
JK: (Q|mn)  :       4.50u       0.00s   4.499713w      6 calls
HF: Form H  :       0.00u       0.00s 0.00672500w      1 call
HF: Form S/X:       0.08u       0.01s 0.04232000w      1 call
HF: Guess   :       1.09u       0.07s 0.57749200w      1 call
SAD Guess   :       1.08u       0.07s 0.57156800w      1 call
JK: D       :       0.01u       0.01s   0.012531w     46 calls
JK: USO2AO  :       0.00u       0.00s   0.002319w     46 calls
JK: JK      :      38.47u       0.92s      22.96w     46 calls
JK: J       :       1.41u       0.07s   0.771288w     47 calls
JK: J1      :       0.73u       0.02s   0.398644w     82 calls
JK: J2      :       0.67u       0.05s   0.366414w     82 calls
JK: K       :      35.43u       0.26s      21.09w     47 calls
JK: K1      :      24.65u       0.00s      12.32w     82 calls
JK: K2      :      10.78u       0.26s   8.771768w     82 calls
JK: AO2USO  :       0.00u       0.00s   0.000106w     46 calls
DIISManager::add_entry:       0.22u       0.03s   0.581798w     45 calls
DIISManager::extrapolate:       0.70u       0.10s   1.562047w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.70u       0.07s   1.533876w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.002025w     44 calls
DIISManager::extrapolate: form new data:       0.00u       0.03s   0.025578w     44 calls
HF: Form G  :     144.66u       1.26s     127.42w     11 calls
RKS: Form V :     106.19u       0.33s     104.45w     11 calls
V: D        :       0.00u       0.00s   0.011823w     11 calls
V: USO2AO   :       0.00u       0.00s   0.001283w     11 calls
V: V        :     106.16u       0.33s     104.43w     11 calls
Properties  :      63.27u       0.20s      62.50w   3278 calls
Points      :      42.43u       0.15s      41.67w   3278 calls
Functional  :      19.50u       0.03s      19.13w   3278 calls
V_XC        :      23.31u       0.08s      22.75w   3278 calls
LSDA        :      18.86u       0.05s      18.27w   6556 calls
GGA         :       4.03u       0.00s   4.085584w   3278 calls
V: AO2USO   :       0.00u       0.00s   0.000031w     11 calls
HF: Form F  :       0.00u       0.00s   0.003012w     11 calls
HF: DIIS    :       1.19u       0.14s   2.273140w     11 calls
HF: Form C  :       0.75u       0.02s   0.459216w     11 calls
HF: Form D  :       0.00u       0.00s   0.009826w     11 calls

***********************************************************
