
Host: rich133-c34-32-r.pace.gatech.edu

Timers On : Mon Apr 23 21:56:10 2018
Timers Off: Mon Apr 23 21:58:15 2018

Wall Time:      125.00 seconds

V: Grid     :       0.88u       0.04s 0.91664000w      1 call
JK: (A|mn)  :       6.33u       0.00s   3.183487w      6 calls
JK: (A|Q)^-1/2:       1.60u       0.04s   1.282994w      6 calls
JK: (Q|mn)  :       1.81u       0.00s   1.809579w      6 calls
HF: Form H  :       0.00u       0.00s 0.00449300w      1 call
HF: Form S/X:       0.02u       0.00s 0.01184100w      1 call
HF: Guess   :       0.44u       0.04s 0.23462300w      1 call
SAD Guess   :       0.42u       0.04s 0.23153000w      1 call
JK: D       :       0.01u       0.00s   0.006064w     51 calls
JK: USO2AO  :       0.02u       0.00s   0.002755w     51 calls
JK: JK      :      33.04u       1.42s      17.87w     51 calls
JK: J       :       2.00u       0.17s   1.086364w     52 calls
JK: J1      :       0.95u       0.05s   0.513601w     86 calls
JK: J2      :       1.03u       0.11s   0.565309w     86 calls
JK: K       :      30.16u       0.42s      15.91w     52 calls
JK: K1      :      22.69u       0.02s      11.37w     86 calls
JK: K2      :       7.46u       0.40s   4.533361w     86 calls
JK: AO2USO  :       0.00u       0.00s   0.000069w     51 calls
DIISManager::add_entry:       0.18u       0.06s   0.991244w     50 calls
DIISManager::extrapolate:       0.65u       0.11s   1.427088w     49 calls
DIISManager::extrapolate: bMatrix setup:       0.61u       0.10s   1.405127w     49 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.002193w     49 calls
DIISManager::extrapolate: form new data:       0.03u       0.01s   0.019383w     49 calls
HF: Form G  :     129.61u       1.93s     111.66w     17 calls
RKS: Form V :      96.52u       0.51s      93.77w     17 calls
V: D        :       0.00u       0.00s   0.005475w     17 calls
V: USO2AO   :       0.00u       0.00s   0.001302w     17 calls
V: V        :      96.52u       0.51s      93.76w     17 calls
Properties  :      63.37u       0.29s      61.48w   5049 calls
Points      :      42.33u       0.21s      40.90w   5049 calls
Functional  :      14.00u       0.06s      13.31w   5049 calls
V_XC        :      19.11u       0.15s      18.91w   5049 calls
LSDA        :      12.96u       0.10s      12.81w  10098 calls
GGA         :       5.69u       0.03s   5.592785w   5049 calls
V: AO2USO   :       0.00u       0.00s   0.000038w     17 calls
HF: Form F  :       0.00u       0.00s   0.003093w     17 calls
HF: DIIS    :       0.96u       0.18s   2.482552w     17 calls
HF: Form C  :       0.30u       0.02s   0.179272w     17 calls
HF: Form D  :       0.01u       0.00s   0.007843w     17 calls

***********************************************************
