
Host: iw-h29-21.pace.gatech.edu

Timers On : Mon Apr 23 21:49:55 2018
Timers Off: Mon Apr 23 21:53:29 2018

Wall Time:      214.00 seconds

V: Grid     :       2.08u       0.04s 2.11756700w      1 call
JK: (A|mn)  :      17.26u       0.00s   8.634342w      6 calls
JK: (A|Q)^-1/2:       5.40u       0.09s   5.038915w      6 calls
JK: (Q|mn)  :       4.25u       0.00s   4.251771w      6 calls
HF: Form H  :       0.01u       0.00s 0.00388100w      1 call
HF: Form S/X:       0.07u       0.00s 0.04168500w      1 call
HF: Guess   :       0.83u       0.08s 0.45050800w      1 call
SAD Guess   :       0.82u       0.08s 0.44697800w      1 call
JK: D       :       0.01u       0.00s   0.016311w     52 calls
JK: USO2AO  :       0.00u       0.00s   0.003163w     52 calls
JK: JK      :      53.81u       1.33s      32.06w     52 calls
JK: J       :       2.01u       0.14s   1.080315w     53 calls
JK: J1      :       1.02u       0.06s   0.557469w     88 calls
JK: J2      :       0.96u       0.08s   0.515396w     88 calls
JK: K       :      49.72u       0.45s      29.55w     53 calls
JK: K1      :      34.34u       0.00s      17.19w     88 calls
JK: K2      :      15.38u       0.45s      12.36w     88 calls
JK: AO2USO  :       0.00u       0.00s   0.000092w     52 calls
DIISManager::add_entry:       0.18u       0.04s   0.580123w     51 calls
DIISManager::extrapolate:       0.84u       0.18s   2.294379w     50 calls
DIISManager::extrapolate: bMatrix setup:       0.78u       0.16s   2.251748w     50 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.002686w     50 calls
DIISManager::extrapolate: form new data:       0.05u       0.02s   0.039379w     50 calls
HF: Form G  :     210.35u       1.94s     186.00w     17 calls
RKS: Form V :     156.55u       0.61s     153.92w     17 calls
V: D        :       0.05u       0.01s   0.015840w     17 calls
V: USO2AO   :       0.00u       0.00s   0.001507w     17 calls
V: V        :     156.50u       0.60s     153.90w     17 calls
Properties  :      95.27u       0.38s      92.96w   4981 calls
Points      :      63.23u       0.26s      61.51w   4981 calls
Functional  :      27.01u       0.06s      26.45w   4981 calls
V_XC        :      34.20u       0.12s      34.44w   4981 calls
LSDA        :      28.07u       0.09s      28.28w   9962 calls
GGA         :       5.66u       0.02s   5.630934w   4981 calls
V: AO2USO   :       0.00u       0.00s   0.000042w     17 calls
HF: Form F  :       0.01u       0.00s   0.003510w     17 calls
HF: DIIS    :       1.35u       0.26s   3.057950w     17 calls
HF: Form C  :       1.07u       0.06s   0.655793w     17 calls
HF: Form D  :       0.02u       0.00s   0.013788w     17 calls

***********************************************************
