
Host: iw-k30-13.pace.gatech.edu

Timers On : Mon Apr 23 22:03:20 2018
Timers Off: Mon Apr 23 22:06:05 2018

Wall Time:      165.00 seconds

V: Grid     :       2.33u       0.04s 2.37017600w      1 call
JK: (A|mn)  :      19.46u       0.00s   9.729268w      6 calls
JK: (A|Q)^-1/2:       5.88u       0.04s   5.409307w      6 calls
JK: (Q|mn)  :       4.63u       0.00s   4.626958w      6 calls
HF: Form H  :       0.00u       0.00s 0.00403500w      1 call
HF: Form S/X:       0.08u       0.00s 0.04247700w      1 call
HF: Guess   :       1.07u       0.06s 0.56209200w      1 call
SAD Guess   :       1.06u       0.06s 0.55637700w      1 call
JK: D       :       0.01u       0.00s   0.013097w     47 calls
JK: USO2AO  :       0.00u       0.00s   0.002392w     47 calls
JK: JK      :      42.74u       0.99s      25.52w     47 calls
JK: J       :       1.54u       0.12s   0.841734w     48 calls
JK: J1      :       0.78u       0.04s   0.429140w     83 calls
JK: J2      :       0.75u       0.07s   0.405955w     83 calls
JK: K       :      39.37u       0.24s      23.43w     48 calls
JK: K1      :      27.50u       0.00s      13.76w     83 calls
JK: K2      :      11.87u       0.24s   9.660696w     83 calls
JK: AO2USO  :       0.00u       0.00s   0.000090w     47 calls
DIISManager::add_entry:       0.19u       0.03s   0.386682w     46 calls
DIISManager::extrapolate:       0.61u       0.07s   1.699681w     45 calls
DIISManager::extrapolate: bMatrix setup:       0.59u       0.06s   1.676034w     45 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.002159w     45 calls
DIISManager::extrapolate: form new data:       0.02u       0.01s   0.020897w     45 calls
HF: Form G  :     155.45u       1.32s     136.31w     12 calls
RKS: Form V :     112.72u       0.33s     110.78w     12 calls
V: D        :       0.01u       0.01s   0.012494w     12 calls
V: USO2AO   :       0.00u       0.00s   0.001303w     12 calls
V: V        :     112.70u       0.32s     110.76w     12 calls
Properties  :      67.88u       0.21s      66.64w   3576 calls
Points      :      45.36u       0.13s      44.75w   3576 calls
Functional  :      20.34u       0.00s      20.34w   3576 calls
V_XC        :      24.43u       0.11s      23.74w   3576 calls
LSDA        :      19.64u       0.05s      19.06w   7152 calls
GGA         :       4.44u       0.03s   4.281468w   3576 calls
V: AO2USO   :       0.00u       0.00s   0.000037w     12 calls
HF: Form F  :       0.00u       0.01s   0.003037w     12 calls
HF: DIIS    :       1.10u       0.13s   2.233130w     12 calls
HF: Form C  :       0.86u       0.03s   0.512874w     12 calls
HF: Form D  :       0.01u       0.00s   0.011391w     12 calls

***********************************************************
