
Host: rich133-c34-13-r.pace.gatech.edu

Timers On : Mon Apr 23 21:32:38 2018
Timers Off: Mon Apr 23 21:33:41 2018

Wall Time:       63.00 seconds

V: Grid     :       0.78u       0.02s 0.80894200w      1 call
JK: (A|mn)  :       5.71u       0.00s   2.856952w      6 calls
JK: (A|Q)^-1/2:       1.34u       0.06s   1.045044w      6 calls
JK: (Q|mn)  :       1.53u       0.00s   1.521982w      6 calls
HF: Form H  :       0.00u       0.00s 0.00370200w      1 call
HF: Form S/X:       0.02u       0.00s 0.00902700w      1 call
HF: Guess   :       0.41u       0.03s 0.22167300w      1 call
SAD Guess   :       0.41u       0.03s 0.21901000w      1 call
JK: D       :       0.00u       0.00s   0.003771w     46 calls
JK: USO2AO  :       0.01u       0.00s   0.001718w     46 calls
JK: JK      :      14.03u       0.75s   7.602438w     46 calls
JK: J       :       0.78u       0.03s   0.418088w     47 calls
JK: J1      :       0.37u       0.02s   0.199373w     81 calls
JK: J2      :       0.40u       0.01s   0.215888w     81 calls
JK: K       :      12.72u       0.24s   6.684967w     47 calls
JK: K1      :       7.65u       0.00s   3.819728w     81 calls
JK: K2      :       5.07u       0.24s   2.864541w     81 calls
JK: AO2USO  :       0.00u       0.00s   0.000043w     46 calls
DIISManager::add_entry:       0.06u       0.00s   0.074280w     45 calls
DIISManager::extrapolate:       0.59u       0.07s   1.708213w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.42u       0.04s   0.738887w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001061w     44 calls
DIISManager::extrapolate: form new data:       0.17u       0.03s   0.968036w     44 calls
HF: Form G  :      60.27u       1.05s      51.73w     12 calls
RKS: Form V :      46.23u       0.30s      44.12w     12 calls
V: D        :       0.00u       0.00s   0.003606w     12 calls
V: USO2AO   :       0.00u       0.00s   0.000829w     12 calls
V: V        :      46.23u       0.30s      44.11w     12 calls
Properties  :      30.14u       0.20s      28.52w   3648 calls
Points      :      21.79u       0.16s      20.62w   3648 calls
Functional  :       8.59u       0.02s   8.311703w   3648 calls
V_XC        :       7.44u       0.08s   7.253627w   3648 calls
LSDA        :       5.52u       0.04s   5.402847w   7296 calls
GGA         :       1.80u       0.02s   1.683069w   3648 calls
V: AO2USO   :       0.00u       0.00s   0.000020w     12 calls
HF: Form F  :       0.00u       0.00s   0.001779w     12 calls
HF: DIIS    :       0.73u       0.07s   1.816409w     12 calls
HF: Form C  :       0.19u       0.00s   0.108402w     12 calls
HF: Form D  :       0.01u       0.00s   0.003872w     12 calls

***********************************************************
