
Host: rich133-c34-28-r.pace.gatech.edu

Timers On : Mon Apr 23 22:10:55 2018
Timers Off: Mon Apr 23 22:12:06 2018

Wall Time:       71.00 seconds

V: Grid     :       0.86u       0.04s 0.89399100w      1 call
JK: (A|mn)  :       6.03u       0.00s   3.011431w      6 calls
JK: (A|Q)^-1/2:       1.45u       0.06s   1.174688w      6 calls
JK: (Q|mn)  :       1.63u       0.00s   1.627288w      6 calls
HF: Form H  :       0.00u       0.00s 0.00398400w      1 call
HF: Form S/X:       0.02u       0.00s 0.01058500w      1 call
HF: Guess   :       0.43u       0.03s 0.23156800w      1 call
SAD Guess   :       0.43u       0.03s 0.22865600w      1 call
JK: D       :       0.01u       0.00s   0.003743w     45 calls
JK: USO2AO  :       0.00u       0.00s   0.001643w     45 calls
JK: JK      :      17.29u       0.83s   9.420868w     45 calls
JK: J       :       1.01u       0.05s   0.523907w     46 calls
JK: J1      :       0.49u       0.03s   0.253849w     80 calls
JK: J2      :       0.51u       0.02s   0.266499w     80 calls
JK: K       :      15.79u       0.28s   8.384193w     46 calls
JK: K1      :      10.97u       0.01s   5.487620w     80 calls
JK: K2      :       4.82u       0.27s   2.895729w     80 calls
JK: AO2USO  :       0.00u       0.00s   0.000051w     45 calls
DIISManager::add_entry:       0.24u       0.04s   0.364924w     44 calls
DIISManager::extrapolate:       0.23u       0.06s   1.212909w     43 calls
DIISManager::extrapolate: bMatrix setup:       0.22u       0.05s   0.868233w     43 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.001270w     43 calls
DIISManager::extrapolate: form new data:       0.00u       0.01s   0.343143w     43 calls
HF: Form G  :      69.65u       1.15s      59.93w     11 calls
RKS: Form V :      52.35u       0.32s      50.51w     11 calls
V: D        :       0.01u       0.00s   0.003518w     11 calls
V: USO2AO   :       0.00u       0.00s   0.000760w     11 calls
V: V        :      52.33u       0.32s      50.50w     11 calls
Properties  :      34.07u       0.22s      32.74w   3267 calls
Points      :      23.40u       0.09s      22.35w   3267 calls
Functional  :       8.57u       0.06s   8.381276w   3267 calls
V_XC        :       9.63u       0.04s   9.346289w   3267 calls
LSDA        :       6.81u       0.03s   6.409351w   6534 calls
GGA         :       2.54u       0.00s   2.692490w   3267 calls
V: AO2USO   :       0.00u       0.00s   0.000020w     11 calls
HF: Form F  :       0.00u       0.00s   0.001738w     11 calls
HF: DIIS    :       0.54u       0.10s   1.613263w     11 calls
HF: Form C  :       0.18u       0.01s   0.108237w     11 calls
HF: Form D  :       0.01u       0.00s   0.004271w     11 calls

***********************************************************
