
Host: iw-c39-34-l.pace.gatech.edu

Timers On : Mon Apr 23 22:13:12 2018
Timers Off: Mon Apr 23 22:14:30 2018

Wall Time:       78.00 seconds

V: Grid     :       1.13u       0.02s 1.15323300w      1 call
JK: (A|mn)  :       6.75u       0.00s   3.373593w      6 calls
JK: (A|Q)^-1/2:       1.70u       0.05s   1.286647w      6 calls
JK: (Q|mn)  :       1.78u       0.00s   1.786654w      6 calls
HF: Form H  :       0.00u       0.00s 1.24416100w      1 call
HF: Form S/X:       0.02u       0.00s 0.01142400w      1 call
HF: Guess   :       0.92u       0.03s 0.47552900w      1 call
SAD Guess   :       0.91u       0.03s 0.47236200w      1 call
JK: D       :       0.01u       0.00s   0.004362w     46 calls
JK: USO2AO  :       0.00u       0.00s   0.001780w     46 calls
JK: JK      :      15.44u       0.82s   8.589914w     46 calls
JK: J       :       0.83u       0.03s   0.441817w     47 calls
JK: J1      :       0.40u       0.02s   0.208530w     81 calls
JK: J2      :       0.43u       0.01s   0.229901w     81 calls
JK: K       :      14.03u       0.32s   7.620990w     47 calls
JK: K1      :       8.48u       0.00s   4.228072w     81 calls
JK: K2      :       5.55u       0.32s   3.392106w     81 calls
JK: AO2USO  :       0.00u       0.00s   0.000053w     46 calls
DIISManager::add_entry:       0.10u       0.02s   0.101469w     45 calls
DIISManager::extrapolate:       0.82u       0.12s   1.620660w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.82u       0.11s   1.608636w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001286w     44 calls
DIISManager::extrapolate: form new data:       0.00u       0.01s   0.010472w     44 calls
HF: Form G  :      74.60u       1.16s      65.61w     12 calls
RKS: Form V :      59.15u       0.34s      57.02w     12 calls
V: D        :       0.03u       0.00s   0.004212w     12 calls
V: USO2AO   :       0.00u       0.00s   0.000837w     12 calls
V: V        :      59.12u       0.34s      57.01w     12 calls
Properties  :      38.44u       0.24s      37.11w   3528 calls
Points      :      28.63u       0.20s      27.78w   3528 calls
Functional  :      11.85u       0.02s      11.51w   3528 calls
V_XC        :       8.78u       0.07s   8.360065w   3528 calls
LSDA        :       6.43u       0.03s   6.224696w   7056 calls
GGA         :       2.17u       0.02s   1.904333w   3528 calls
V: AO2USO   :       0.00u       0.00s   0.000025w     12 calls
HF: Form F  :       0.02u       0.00s   0.001824w     12 calls
HF: DIIS    :       0.98u       0.14s   1.762015w     12 calls
HF: Form C  :       0.20u       0.00s   0.131822w     12 calls
HF: Form D  :       0.01u       0.00s   0.004579w     12 calls

***********************************************************
