
Host: iw-c39-34-r.pace.gatech.edu

Timers On : Mon Apr 23 21:47:32 2018
Timers Off: Mon Apr 23 21:48:57 2018

Wall Time:       85.00 seconds

V: Grid     :       1.13u       0.03s 1.16115800w      1 call
JK: (A|mn)  :       6.73u       0.00s   3.363533w      6 calls
JK: (A|Q)^-1/2:       1.69u       0.05s   1.310481w      6 calls
JK: (Q|mn)  :       1.89u       0.00s   1.881443w      6 calls
HF: Form H  :       0.00u       0.00s 0.00225600w      1 call
HF: Form S/X:       0.02u       0.00s 0.01047600w      1 call
HF: Guess   :       0.91u       0.03s 0.47351600w      1 call
SAD Guess   :       0.91u       0.03s 0.47036300w      1 call
JK: D       :       0.00u       0.00s   0.003954w     45 calls
JK: USO2AO  :       0.00u       0.00s   0.001591w     45 calls
JK: JK      :      15.08u       0.78s   8.355731w     45 calls
JK: J       :       0.80u       0.06s   0.423031w     46 calls
JK: J1      :       0.39u       0.00s   0.201866w     80 calls
JK: J2      :       0.41u       0.06s   0.217956w     80 calls
JK: K       :      13.76u       0.27s   7.458628w     46 calls
JK: K1      :       8.71u       0.00s   4.355410w     80 calls
JK: K2      :       5.05u       0.27s   3.102487w     80 calls
JK: AO2USO  :       0.00u       0.00s   0.000044w     45 calls
DIISManager::add_entry:       0.53u       0.08s   3.375934w     44 calls
DIISManager::extrapolate:       0.56u       0.09s   6.443289w     43 calls
DIISManager::extrapolate: bMatrix setup:       0.51u       0.09s   6.392971w     43 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.001199w     43 calls
DIISManager::extrapolate: form new data:       0.04u       0.00s   0.048855w     43 calls
HF: Form G  :      71.57u       1.01s      62.89w     11 calls
RKS: Form V :      56.50u       0.23s      54.53w     11 calls
V: D        :       0.00u       0.00s   0.003741w     11 calls
V: USO2AO   :       0.00u       0.00s   0.000741w     11 calls
V: V        :      56.50u       0.23s      54.52w     11 calls
Properties  :      37.24u       0.19s      35.64w   3256 calls
Points      :      27.58u       0.13s      26.44w   3256 calls
Functional  :      10.78u       0.03s      10.54w   3256 calls
V_XC        :       8.43u       0.01s   8.306321w   3256 calls
LSDA        :       6.22u       0.00s   6.297758w   6512 calls
GGA         :       1.98u       0.00s   1.782839w   3256 calls
V: AO2USO   :       0.00u       0.00s   0.000019w     11 calls
HF: Form F  :       0.00u       0.00s   0.001610w     11 calls
HF: DIIS    :       1.14u       0.18s   9.855218w     11 calls
HF: Form C  :       0.20u       0.00s   0.122342w     11 calls
HF: Form D  :       0.00u       0.00s   0.004130w     11 calls

***********************************************************
