
Host: rich133-c32-20-r.pace.gatech.edu

Timers On : Mon Apr 23 21:34:19 2018
Timers Off: Mon Apr 23 21:35:16 2018

Wall Time:       57.00 seconds

V: Grid     :       0.81u       0.02s 0.83160000w      1 call
JK: (A|mn)  :       5.45u       0.00s   2.721762w      6 calls
JK: (A|Q)^-1/2:       1.31u       0.05s   1.051444w      6 calls
JK: (Q|mn)  :       1.63u       0.00s   1.630638w      6 calls
HF: Form H  :       0.00u       0.00s 0.53675700w      1 call
HF: Form S/X:       0.02u       0.00s 0.00910800w      1 call
HF: Guess   :       0.42u       0.02s 0.21985100w      1 call
SAD Guess   :       0.42u       0.02s 0.21720200w      1 call
JK: D       :       0.00u       0.00s   0.003607w     45 calls
JK: USO2AO  :       0.01u       0.00s   0.001550w     45 calls
JK: JK      :      12.06u       0.68s   6.648994w     45 calls
JK: J       :       0.75u       0.05s   0.399271w     46 calls
JK: J1      :       0.35u       0.02s   0.190988w     80 calls
JK: J2      :       0.40u       0.03s   0.205599w     80 calls
JK: K       :      10.83u       0.21s   5.802419w     46 calls
JK: K1      :       6.10u       0.01s   3.045062w     80 calls
JK: K2      :       4.73u       0.20s   2.756680w     80 calls
JK: AO2USO  :       0.00u       0.00s   0.000041w     45 calls
DIISManager::add_entry:       0.00u       0.01s   0.011426w     44 calls
DIISManager::extrapolate:       0.79u       0.10s   1.899272w     43 calls
DIISManager::extrapolate: bMatrix setup:       0.77u       0.09s   1.890779w     43 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.000992w     43 calls
DIISManager::extrapolate: form new data:       0.02u       0.01s   0.007288w     43 calls
HF: Form G  :      54.12u       0.96s      46.80w     11 calls
RKS: Form V :      42.06u       0.28s      40.15w     11 calls
V: D        :       0.01u       0.00s   0.003349w     11 calls
V: USO2AO   :       0.00u       0.01s   0.000717w     11 calls
V: V        :      42.04u       0.27s      40.14w     11 calls
Properties  :      27.09u       0.17s      26.14w   3179 calls
Points      :      19.99u       0.14s      19.24w   3179 calls
Functional  :       8.38u       0.05s   7.782190w   3179 calls
V_XC        :       6.50u       0.04s   6.191482w   3179 calls
LSDA        :       5.10u       0.03s   4.719674w   6358 calls
GGA         :       1.32u       0.00s   1.322063w   3179 calls
V: AO2USO   :       0.00u       0.00s   0.000018w     11 calls
HF: Form F  :       0.00u       0.00s   0.001413w     11 calls
HF: DIIS    :       0.86u       0.11s   1.942844w     11 calls
HF: Form C  :       0.16u       0.00s   0.102795w     11 calls
HF: Form D  :       0.01u       0.00s   0.003716w     11 calls

***********************************************************
