
Host: rich133-c34-19-l.pace.gatech.edu

Timers On : Mon Apr 23 22:02:16 2018
Timers Off: Mon Apr 23 22:04:02 2018

Wall Time:      106.00 seconds

V: Grid     :       0.70u       0.02s 0.72074200w      1 call
JK: (A|mn)  :       5.05u       0.00s   2.526327w      6 calls
JK: (A|Q)^-1/2:       1.19u       0.05s   0.899709w      6 calls
JK: (Q|mn)  :       1.37u       0.00s   1.371782w      6 calls
HF: Form H  :       0.00u       0.00s 0.05211500w      1 call
HF: Form S/X:       0.02u       0.00s 0.00875000w      1 call
HF: Guess   :       0.38u       0.02s 0.20204300w      1 call
SAD Guess   :       0.37u       0.02s 0.19959800w      1 call
JK: D       :       0.00u       0.00s   0.006539w     56 calls
JK: USO2AO  :       0.00u       0.00s   0.003058w     56 calls
JK: JK      :      24.55u       1.47s      13.34w     56 calls
JK: J       :       1.41u       0.10s   0.763508w     57 calls
JK: J1      :       0.70u       0.03s   0.362838w     91 calls
JK: J2      :       0.70u       0.07s   0.395817w     91 calls
JK: K       :      22.22u       0.54s      11.67w     57 calls
JK: K1      :      13.22u       0.00s   6.612532w     91 calls
JK: K2      :       9.00u       0.54s   5.060651w     91 calls
JK: AO2USO  :       0.00u       0.00s   0.000057w     56 calls
DIISManager::add_entry:       0.07u       0.04s   0.047962w     55 calls
DIISManager::extrapolate:       1.29u       0.18s   5.429055w     54 calls
DIISManager::extrapolate: bMatrix setup:       1.26u       0.18s   5.403294w     54 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001661w     54 calls
DIISManager::extrapolate: form new data:       0.03u       0.00s   0.023788w     54 calls
HF: Form G  :     107.67u       2.10s      92.63w     22 calls
RKS: Form V :      83.09u       0.64s      79.27w     22 calls
V: D        :       0.01u       0.00s   0.006641w     22 calls
V: USO2AO   :       0.00u       0.00s   0.001486w     22 calls
V: V        :      83.08u       0.64s      79.26w     22 calls
Properties  :      54.56u       0.44s      51.86w   6182 calls
Points      :      40.27u       0.37s      37.91w   6182 calls
Functional  :      14.95u       0.07s      14.65w   6182 calls
V_XC        :      13.46u       0.13s      12.70w   6182 calls
LSDA        :      10.25u       0.07s   9.656048w  12364 calls
GGA         :       2.92u       0.03s   2.771268w   6182 calls
V: AO2USO   :       0.00u       0.00s   0.000031w     22 calls
HF: Form F  :       0.00u       0.00s   0.003132w     22 calls
HF: DIIS    :       1.43u       0.23s   5.540034w     22 calls
HF: Form C  :       0.29u       0.03s   0.197742w     22 calls
HF: Form D  :       0.02u       0.00s   0.006669w     22 calls

***********************************************************
