
Host: iw-c39-34-r.pace.gatech.edu

Timers On : Mon Apr 23 22:02:16 2018
Timers Off: Mon Apr 23 22:03:53 2018

Wall Time:       97.00 seconds

V: Grid     :       1.13u       0.03s 1.16404300w      1 call
JK: (A|mn)  :       6.60u       0.00s   3.298980w      6 calls
JK: (A|Q)^-1/2:       1.72u       0.05s   1.325698w      6 calls
JK: (Q|mn)  :       1.74u       0.00s   1.742208w      6 calls
HF: Form H  :       0.00u       0.01s 0.63400900w      1 call
HF: Form S/X:       0.02u       0.00s 0.01126800w      1 call
HF: Guess   :       0.89u       0.05s 0.47037300w      1 call
SAD Guess   :       0.88u       0.05s 0.46724900w      1 call
JK: D       :       0.01u       0.01s   0.005725w     50 calls
JK: USO2AO  :       0.00u       0.00s   0.002270w     50 calls
JK: JK      :      19.73u       1.05s      11.02w     50 calls
JK: J       :       1.10u       0.06s   0.577206w     51 calls
JK: J1      :       0.51u       0.03s   0.274844w     85 calls
JK: J2      :       0.58u       0.03s   0.298137w     85 calls
JK: K       :      17.94u       0.36s   9.760367w     51 calls
JK: K1      :      10.70u       0.00s   5.351600w     85 calls
JK: K2      :       7.24u       0.36s   4.407766w     85 calls
JK: AO2USO  :       0.00u       0.00s   0.000061w     50 calls
DIISManager::add_entry:       0.33u       0.05s   0.450791w     49 calls
DIISManager::extrapolate:       0.65u       0.14s   1.784422w     48 calls
DIISManager::extrapolate: bMatrix setup:       0.49u       0.09s   1.603416w     48 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001631w     48 calls
DIISManager::extrapolate: form new data:       0.16u       0.05s   0.179015w     48 calls
HF: Form G  :      96.09u       1.51s      84.62w     16 calls
RKS: Form V :      76.35u       0.45s      73.59w     16 calls
V: D        :       0.00u       0.01s   0.005380w     16 calls
V: USO2AO   :       0.01u       0.00s   0.001126w     16 calls
V: V        :      76.31u       0.44s      73.58w     16 calls
Properties  :      50.33u       0.26s      47.72w   4608 calls
Points      :      37.71u       0.17s      36.03w   4608 calls
Functional  :      14.92u       0.09s      15.24w   4608 calls
V_XC        :      10.98u       0.09s      10.58w   4608 calls
LSDA        :       8.31u       0.03s   8.073025w   9216 calls
GGA         :       2.38u       0.01s   2.229959w   4608 calls
V: AO2USO   :       0.00u       0.00s   0.000029w     16 calls
HF: Form F  :       0.01u       0.00s   0.002416w     16 calls
HF: DIIS    :       1.10u       0.21s   2.287986w     16 calls
HF: Form C  :       0.29u       0.01s   0.176568w     16 calls
HF: Form D  :       0.01u       0.00s   0.006098w     16 calls

***********************************************************
