
Host: iw-k30-12.pace.gatech.edu

Timers On : Mon Apr 23 21:47:33 2018
Timers Off: Mon Apr 23 21:53:55 2018

Wall Time:      382.00 seconds

V: Grid     :       2.42u       0.09s 2.50307400w      1 call
JK: (A|mn)  :      20.66u       0.00s      10.37w      6 calls
JK: (A|Q)^-1/2:       9.48u       0.09s   9.024245w      6 calls
JK: (Q|mn)  :       7.08u       0.00s   7.087215w      6 calls
HF: Form H  :       0.01u       0.00s 0.00933100w      1 call
HF: Form S/X:       0.11u       0.01s 0.06027200w      1 call
HF: Guess   :       1.12u       0.08s 0.60058200w      1 call
SAD Guess   :       1.10u       0.08s 0.59517100w      1 call
JK: D       :       0.07u       0.00s   0.028227w     53 calls
JK: USO2AO  :       0.00u       0.00s   0.004439w     53 calls
JK: JK      :      84.04u       1.79s      51.09w     53 calls
JK: J       :       5.03u       0.12s   4.203139w     54 calls
JK: J1      :       2.93u       0.11s   2.123770w     89 calls
JK: J2      :       2.06u       0.01s   2.058052w     89 calls
JK: K       :      75.06u       0.46s      44.20w     54 calls
JK: K1      :      55.49u       0.02s      27.81w     89 calls
JK: K2      :      19.56u       0.44s      16.38w     89 calls
JK: AO2USO  :       0.00u       0.00s   0.000114w     53 calls
DIISManager::add_entry:       0.05u       0.00s   0.029969w     52 calls
DIISManager::extrapolate:       0.95u       0.17s   5.566929w     51 calls
DIISManager::extrapolate: bMatrix setup:       0.90u       0.14s   5.522477w     51 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.003099w     51 calls
DIISManager::extrapolate: form new data:       0.05u       0.03s   0.040615w     51 calls
HF: Form G  :     374.47u       2.20s     338.62w     18 calls
RKS: Form V :     290.40u       0.41s     287.50w     18 calls
V: D        :       0.03u       0.00s   0.018095w     18 calls
V: USO2AO   :       0.02u       0.00s   0.006931w     18 calls
V: V        :     290.31u       0.41s     287.45w     18 calls
Properties  :     188.62u       0.30s     185.69w   5238 calls
Points      :     124.71u       0.25s     122.31w   5238 calls
Functional  :      30.74u       0.00s      31.07w   5238 calls
V_XC        :      70.81u       0.10s      70.57w   5238 calls
LSDA        :      52.30u       0.03s      52.13w  10476 calls
GGA         :      16.08u       0.03s      16.21w   5238 calls
V: AO2USO   :       0.00u       0.00s   0.000056w     18 calls
HF: Form F  :       0.02u       0.01s   0.010604w     18 calls
HF: DIIS    :       1.39u       0.20s   5.822564w     18 calls
HF: Form C  :       1.28u       0.09s   0.791764w     18 calls
HF: Form D  :       0.01u       0.00s   0.017596w     18 calls

***********************************************************
