
Host: rich133-c32-25-l.pace.gatech.edu

Timers On : Mon Apr 23 21:45:44 2018
Timers Off: Mon Apr 23 21:48:08 2018

Wall Time:      144.00 seconds

V: Grid     :       0.80u       0.03s 0.83099600w      1 call
JK: (A|mn)  :       5.51u       0.00s   2.755492w      6 calls
JK: (A|Q)^-1/2:       1.35u       0.04s   1.087175w      6 calls
JK: (Q|mn)  :       1.57u       0.00s   1.572897w      6 calls
HF: Form H  :       0.00u       0.00s 0.51342400w      1 call
HF: Form S/X:       0.02u       0.00s 0.00990000w      1 call
HF: Guess   :       0.42u       0.02s 0.21985500w      1 call
SAD Guess   :       0.41u       0.02s 0.21720000w      1 call
JK: D       :       0.01u       0.00s   0.008254w     61 calls
JK: USO2AO  :       0.00u       0.00s   0.003624w     61 calls
JK: JK      :      28.89u       1.72s      15.88w     61 calls
JK: J       :       1.96u       0.11s   1.038139w     62 calls
JK: J1      :       0.93u       0.06s   0.495316w     96 calls
JK: J2      :       1.03u       0.05s   0.536899w     96 calls
JK: K       :      25.78u       0.56s      13.75w     62 calls
JK: K1      :      14.61u       0.00s   7.310332w     96 calls
JK: K2      :      11.17u       0.56s   6.439946w     96 calls
JK: AO2USO  :       0.00u       0.00s   0.000064w     61 calls
DIISManager::add_entry:       0.73u       0.10s   6.506509w     60 calls
DIISManager::extrapolate:       1.33u       0.22s      15.72w     59 calls
DIISManager::extrapolate: bMatrix setup:       1.12u       0.19s      11.19w     59 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001957w     59 calls
DIISManager::extrapolate: form new data:       0.21u       0.03s   4.530563w     59 calls
HF: Form G  :     128.29u       2.28s     110.57w     27 calls
RKS: Form V :      99.41u       0.55s      94.68w     27 calls
V: D        :       0.03u       0.00s   0.008076w     27 calls
V: USO2AO   :       0.01u       0.00s   0.001766w     27 calls
V: V        :      99.35u       0.55s      94.66w     27 calls
Properties  :      64.64u       0.28s      61.60w   8073 calls
Points      :      48.06u       0.21s      45.54w   8073 calls
Functional  :      19.66u       0.14s      18.56w   8073 calls
V_XC        :      15.01u       0.13s      14.44w   8073 calls
LSDA        :      11.24u       0.10s      11.00w  16146 calls
GGA         :       3.50u       0.02s   3.118969w   8073 calls
V: AO2USO   :       0.00u       0.00s   0.000036w     27 calls
HF: Form F  :       0.02u       0.00s   0.003845w     27 calls
HF: DIIS    :       2.17u       0.33s      22.31w     27 calls
HF: Form C  :       0.39u       0.02s   0.245126w     27 calls
HF: Form D  :       0.02u       0.00s   0.008593w     27 calls

***********************************************************
