
Host: rich133-c32-20-r.pace.gatech.edu

Timers On : Mon Apr 23 21:45:10 2018
Timers Off: Mon Apr 23 21:46:15 2018

Wall Time:       65.00 seconds

V: Grid     :       0.80u       0.03s 0.83289400w      1 call
JK: (A|mn)  :       5.46u       0.00s   2.724594w      6 calls
JK: (A|Q)^-1/2:       1.34u       0.05s   1.060816w      6 calls
JK: (Q|mn)  :       1.58u       0.00s   1.582062w      6 calls
HF: Form H  :       0.00u       0.00s 0.00629200w      1 call
HF: Form S/X:       0.02u       0.00s 0.00903900w      1 call
HF: Guess   :       0.42u       0.03s 0.22023000w      1 call
SAD Guess   :       0.41u       0.03s 0.21759200w      1 call
JK: D       :       0.02u       0.00s   0.003595w     45 calls
JK: USO2AO  :       0.00u       0.00s   0.001546w     45 calls
JK: JK      :      12.38u       0.68s   6.823198w     45 calls
JK: J       :       0.75u       0.05s   0.397186w     46 calls
JK: J1      :       0.36u       0.02s   0.189563w     80 calls
JK: J2      :       0.38u       0.03s   0.204987w     80 calls
JK: K       :      11.17u       0.19s   5.971214w     46 calls
JK: K1      :       6.41u       0.01s   3.204230w     80 calls
JK: K2      :       4.76u       0.18s   2.766288w     80 calls
JK: AO2USO  :       0.00u       0.00s   0.000045w     45 calls
DIISManager::add_entry:       0.01u       0.00s   0.011830w     44 calls
DIISManager::extrapolate:       0.86u       0.10s   9.161423w     43 calls
DIISManager::extrapolate: bMatrix setup:       0.85u       0.09s   9.152047w     43 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001036w     43 calls
DIISManager::extrapolate: form new data:       0.01u       0.01s   0.008104w     43 calls
HF: Form G  :      55.00u       0.94s      47.53w     11 calls
RKS: Form V :      42.59u       0.26s      40.70w     11 calls
V: D        :       0.01u       0.00s   0.003385w     11 calls
V: USO2AO   :       0.00u       0.00s   0.000713w     11 calls
V: V        :      42.58u       0.26s      40.70w     11 calls
Properties  :      27.95u       0.19s      26.40w   3278 calls
Points      :      20.59u       0.18s      19.26w   3278 calls
Functional  :       8.03u       0.01s   7.818541w   3278 calls
V_XC        :       6.57u       0.06s   6.450612w   3278 calls
LSDA        :       5.04u       0.03s   4.830548w   6556 calls
GGA         :       1.38u       0.02s   1.466547w   3278 calls
V: AO2USO   :       0.00u       0.00s   0.000019w     11 calls
HF: Form F  :       0.00u       0.00s   0.001493w     11 calls
HF: DIIS    :       0.93u       0.10s   9.205477w     11 calls
HF: Form C  :       0.16u       0.01s   0.103048w     11 calls
HF: Form D  :       0.00u       0.00s   0.003719w     11 calls

***********************************************************
