
Host: iw-p33-31-r.pace.gatech.edu

Timers On : Mon Apr 23 22:06:36 2018
Timers Off: Mon Apr 23 22:07:50 2018

Wall Time:       74.00 seconds

V: Grid     :       1.13u       0.02s 1.15724500w      1 call
JK: (A|mn)  :       6.73u       0.00s   3.358321w      6 calls
JK: (A|Q)^-1/2:       1.72u       0.06s   1.340737w      6 calls
JK: (Q|mn)  :       1.74u       0.00s   1.739357w      6 calls
HF: Form H  :       0.00u       0.00s 0.00274300w      1 call
HF: Form S/X:       0.02u       0.00s 0.01079100w      1 call
HF: Guess   :       0.91u       0.04s 0.47238500w      1 call
SAD Guess   :       0.90u       0.04s 0.46924500w      1 call
JK: D       :       0.03u       0.00s   0.004348w     46 calls
JK: USO2AO  :       0.00u       0.00s   0.001757w     46 calls
JK: JK      :      15.24u       0.82s   8.570227w     46 calls
JK: J       :       0.79u       0.05s   0.422596w     47 calls
JK: J1      :       0.37u       0.04s   0.199118w     81 calls
JK: J2      :       0.41u       0.01s   0.220255w     81 calls
JK: K       :      13.88u       0.27s   7.604308w     47 calls
JK: K1      :       8.30u       0.01s   4.152844w     81 calls
JK: K2      :       5.58u       0.26s   3.450671w     81 calls
JK: AO2USO  :       0.00u       0.00s   0.000052w     46 calls
DIISManager::add_entry:       0.54u       0.08s   1.021036w     45 calls
DIISManager::extrapolate:       0.49u       0.07s   1.348801w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.46u       0.07s   1.335393w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001216w     44 calls
DIISManager::extrapolate: form new data:       0.03u       0.00s   0.011927w     44 calls
HF: Form G  :      71.48u       1.13s      62.72w     12 calls
RKS: Form V :      56.20u       0.31s      54.14w     12 calls
V: D        :       0.00u       0.01s   0.004134w     12 calls
V: USO2AO   :       0.00u       0.00s   0.000841w     12 calls
V: V        :      56.20u       0.30s      54.14w     12 calls
Properties  :      36.13u       0.19s      35.08w   3600 calls
Points      :      27.57u       0.14s      26.69w   3600 calls
Functional  :      12.14u       0.03s      11.44w   3600 calls
V_XC        :       7.89u       0.07s   7.584581w   3600 calls
LSDA        :       5.91u       0.05s   5.745777w   7200 calls
GGA         :       1.69u       0.00s   1.638620w   3600 calls
V: AO2USO   :       0.00u       0.00s   0.000020w     12 calls
HF: Form F  :       0.00u       0.00s   0.001788w     12 calls
HF: DIIS    :       1.13u       0.15s   2.410224w     12 calls
HF: Form C  :       0.20u       0.01s   0.133615w     12 calls
HF: Form D  :       0.01u       0.00s   0.004470w     12 calls

***********************************************************
