
Host: iw-h43-28.pace.gatech.edu

Timers On : Mon Apr 23 21:45:11 2018
Timers Off: Mon Apr 23 21:47:32 2018

Wall Time:      141.00 seconds

V: Grid     :       2.12u       0.02s 2.13845900w      1 call
JK: (A|mn)  :      17.50u       0.00s   8.758122w      6 calls
JK: (A|Q)^-1/2:       5.36u       0.07s   4.983933w      6 calls
JK: (Q|mn)  :       3.90u       0.00s   3.903177w      6 calls
HF: Form H  :       0.01u       0.00s 0.00338400w      1 call
HF: Form S/X:       0.07u       0.00s 0.03914200w      1 call
HF: Guess   :       0.87u       0.04s 0.45492100w      1 call
SAD Guess   :       0.87u       0.03s 0.45140500w      1 call
JK: D       :       0.01u       0.00s   0.011092w     46 calls
JK: USO2AO  :       0.01u       0.00s   0.002107w     46 calls
JK: JK      :      33.04u       1.00s      19.86w     46 calls
JK: J       :       1.14u       0.11s   0.617553w     47 calls
JK: J1      :       0.62u       0.04s   0.323159w     82 calls
JK: J2      :       0.51u       0.07s   0.289690w     82 calls
JK: K       :      30.54u       0.34s      18.27w     47 calls
JK: K1      :      20.57u       0.00s      10.30w     82 calls
JK: K2      :       9.96u       0.34s   7.971497w     82 calls
JK: AO2USO  :       0.00u       0.00s   0.000080w     46 calls
DIISManager::add_entry:       0.52u       0.09s   6.642462w     45 calls
DIISManager::extrapolate:       0.58u       0.09s   5.147167w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.56u       0.09s   5.128951w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001705w     44 calls
DIISManager::extrapolate: form new data:       0.02u       0.00s   0.016056w     44 calls
HF: Form G  :     120.34u       1.38s     105.43w     11 calls
RKS: Form V :      87.28u       0.38s      85.57w     11 calls
V: D        :       0.02u       0.01s   0.010353w     11 calls
V: USO2AO   :       0.00u       0.00s   0.000915w     11 calls
V: V        :      87.26u       0.37s      85.55w     11 calls
Properties  :      52.01u       0.26s      50.87w   3289 calls
Points      :      35.25u       0.15s      34.34w   3289 calls
Functional  :      17.14u       0.05s      16.73w   3289 calls
V_XC        :      18.05u       0.05s      17.92w   3289 calls
LSDA        :      14.69u       0.03s      14.50w   6578 calls
GGA         :       3.06u       0.01s   3.149191w   3289 calls
V: AO2USO   :       0.00u       0.00s   0.000025w     11 calls
HF: Form F  :       0.00u       0.01s   0.002455w     11 calls
HF: DIIS    :       1.31u       0.20s      11.91w     11 calls
HF: Form C  :       0.56u       0.04s   0.382258w     11 calls
HF: Form D  :       0.00u       0.00s   0.008595w     11 calls

***********************************************************
