
Host: iw-p33-31-r.pace.gatech.edu

Timers On : Mon Apr 23 22:12:42 2018
Timers Off: Mon Apr 23 22:14:02 2018

Wall Time:       80.00 seconds

V: Grid     :       1.13u       0.03s 1.15814000w      1 call
JK: (A|mn)  :       6.60u       0.00s   3.292464w      6 calls
JK: (A|Q)^-1/2:       1.71u       0.06s   1.323296w      6 calls
JK: (Q|mn)  :       1.76u       0.00s   1.753492w      6 calls
HF: Form H  :       0.00u       0.01s 0.40673900w      1 call
HF: Form S/X:       0.02u       0.00s 0.01103000w      1 call
HF: Guess   :       0.91u       0.04s 0.47352900w      1 call
SAD Guess   :       0.90u       0.04s 0.47034900w      1 call
JK: D       :       0.00u       0.00s   0.004626w     47 calls
JK: USO2AO  :       0.00u       0.00s   0.001895w     47 calls
JK: JK      :      16.03u       0.84s   8.971715w     47 calls
JK: J       :       0.86u       0.04s   0.461480w     48 calls
JK: J1      :       0.41u       0.00s   0.217895w     82 calls
JK: J2      :       0.45u       0.04s   0.240079w     82 calls
JK: K       :      14.55u       0.29s   7.938716w     48 calls
JK: K1      :       8.45u       0.01s   4.212419w     82 calls
JK: K2      :       6.09u       0.28s   3.725426w     82 calls
JK: AO2USO  :       0.00u       0.00s   0.000054w     47 calls
DIISManager::add_entry:       0.04u       0.00s   0.014721w     46 calls
DIISManager::extrapolate:       0.75u       0.15s   1.985770w     45 calls
DIISManager::extrapolate: bMatrix setup:       0.74u       0.14s   1.970439w     45 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001274w     45 calls
DIISManager::extrapolate: form new data:       0.01u       0.01s   0.013786w     45 calls
HF: Form G  :      76.92u       1.12s      67.48w     13 calls
RKS: Form V :      60.88u       0.28s      58.50w     13 calls
V: D        :       0.00u       0.00s   0.004549w     13 calls
V: USO2AO   :       0.00u       0.00s   0.000900w     13 calls
V: V        :      60.87u       0.28s      58.50w     13 calls
Properties  :      39.38u       0.17s      37.75w   3887 calls
Points      :      29.69u       0.11s      28.46w   3887 calls
Functional  :      12.98u       0.05s      12.42w   3887 calls
V_XC        :       8.49u       0.05s   8.294853w   3887 calls
LSDA        :       6.35u       0.04s   6.255939w   7774 calls
GGA         :       1.90u       0.01s   1.811946w   3887 calls
V: AO2USO   :       0.00u       0.00s   0.000018w     13 calls
HF: Form F  :       0.00u       0.00s   0.003346w     13 calls
HF: DIIS    :       0.82u       0.16s   2.044063w     13 calls
HF: Form C  :       0.23u       0.02s   0.144768w     13 calls
HF: Form D  :       0.02u       0.00s   0.004971w     13 calls

***********************************************************
