
Host: iw-c39-29-l.pace.gatech.edu

Timers On : Mon Apr 23 21:46:36 2018
Timers Off: Mon Apr 23 21:48:49 2018

Wall Time:      133.00 seconds

V: Grid     :       1.12u       0.02s 1.14875600w      1 call
JK: (A|mn)  :       7.26u       0.00s   3.619988w      6 calls
JK: (A|Q)^-1/2:       1.71u       0.08s   1.321697w      6 calls
JK: (Q|mn)  :       1.83u       0.00s   1.820945w      6 calls
HF: Form H  :       0.00u       0.01s 0.38550500w      1 call
HF: Form S/X:       0.02u       0.00s 0.01115500w      1 call
HF: Guess   :       0.88u       0.06s 0.47578300w      1 call
SAD Guess   :       0.88u       0.06s 0.47253300w      1 call
JK: D       :       0.00u       0.00s   0.005689w     50 calls
JK: USO2AO  :       0.02u       0.00s   0.002415w     50 calls
JK: JK      :      19.05u       1.17s      10.79w     50 calls
JK: J       :       1.38u       0.09s   0.720777w     51 calls
JK: J1      :       0.65u       0.03s   0.345116w     85 calls
JK: J2      :       0.73u       0.06s   0.369921w     85 calls
JK: K       :      16.91u       0.41s   9.326631w     51 calls
JK: K1      :       9.65u       0.00s   4.824035w     85 calls
JK: K2      :       7.26u       0.41s   4.501310w     85 calls
JK: AO2USO  :       0.00u       0.00s   0.000064w     50 calls
DIISManager::add_entry:       0.18u       0.03s   0.769874w     49 calls
DIISManager::extrapolate:       1.22u       0.19s      32.35w     48 calls
DIISManager::extrapolate: bMatrix setup:       1.19u       0.18s      16.31w     48 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001555w     48 calls
DIISManager::extrapolate: form new data:       0.03u       0.01s      16.03w     48 calls
HF: Form G  :      92.98u       1.63s      81.94w     16 calls
RKS: Form V :      73.90u       0.46s      71.15w     16 calls
V: D        :       0.00u       0.00s   0.005548w     16 calls
V: USO2AO   :       0.00u       0.00s   0.001118w     16 calls
V: V        :      73.89u       0.46s      71.14w     16 calls
Properties  :      47.88u       0.29s      46.08w   4848 calls
Points      :      36.58u       0.18s      35.02w   4848 calls
Functional  :      15.42u       0.05s      15.23w   4848 calls
V_XC        :      10.52u       0.08s   9.791696w   4848 calls
LSDA        :       8.01u       0.05s   7.310721w   9696 calls
GGA         :       2.13u       0.02s   2.203637w   4848 calls
V: AO2USO   :       0.00u       0.00s   0.000032w     16 calls
HF: Form F  :       0.00u       0.00s   0.002676w     16 calls
HF: DIIS    :       1.50u       0.24s      33.17w     16 calls
HF: Form C  :       0.25u       0.02s   0.179028w     16 calls
HF: Form D  :       0.01u       0.00s   0.006260w     16 calls

***********************************************************
