
Host: iw-h29-21.pace.gatech.edu

Timers On : Mon Apr 23 22:00:31 2018
Timers Off: Mon Apr 23 22:03:27 2018

Wall Time:      176.00 seconds

V: Grid     :       2.07u       0.04s 2.11218600w      1 call
JK: (A|mn)  :      18.46u       0.00s   9.241155w      6 calls
JK: (A|Q)^-1/2:       6.61u       0.07s   6.214855w      6 calls
JK: (Q|mn)  :       4.48u       0.00s   4.474022w      6 calls
HF: Form H  :       0.00u       0.00s 0.00943300w      1 call
HF: Form S/X:       0.08u       0.00s 0.04020500w      1 call
HF: Guess   :       0.83u       0.07s 0.44976300w      1 call
SAD Guess   :       0.83u       0.06s 0.44624800w      1 call
JK: D       :       0.02u       0.00s   0.014310w     47 calls
JK: USO2AO  :       0.01u       0.00s   0.003807w     47 calls
JK: JK      :      48.12u       1.33s      29.19w     47 calls
JK: J       :       1.76u       0.06s   1.441335w     48 calls
JK: J1      :       0.94u       0.04s   0.757840w     83 calls
JK: J2      :       0.81u       0.02s   0.675000w     83 calls
JK: K       :      43.27u       0.39s      25.60w     48 calls
JK: K1      :      31.14u       0.00s      15.58w     83 calls
JK: K2      :      12.13u       0.39s      10.02w     83 calls
JK: AO2USO  :       0.00u       0.00s   0.000086w     47 calls
DIISManager::add_entry:       0.19u       0.04s   0.393276w     46 calls
DIISManager::extrapolate:       0.56u       0.12s   1.235871w     45 calls
DIISManager::extrapolate: bMatrix setup:       0.54u       0.10s   1.207533w     45 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.002426w     45 calls
DIISManager::extrapolate: form new data:       0.02u       0.02s   0.025360w     45 calls
HF: Form G  :     169.31u       1.81s     148.55w     12 calls
RKS: Form V :     121.18u       0.48s     119.34w     12 calls
V: D        :       0.02u       0.00s   0.012272w     12 calls
V: USO2AO   :       0.00u       0.00s   0.001724w     12 calls
V: V        :     121.15u       0.48s     119.32w     12 calls
Properties  :      74.48u       0.34s      73.20w   3528 calls
Points      :      49.57u       0.20s      48.67w   3528 calls
Functional  :      18.56u       0.04s      18.52w   3528 calls
V_XC        :      28.03u       0.09s      27.55w   3528 calls
LSDA        :      21.79u       0.01s      21.54w   7056 calls
GGA         :       5.74u       0.05s   5.530554w   3528 calls
V: AO2USO   :       0.00u       0.00s   0.000034w     12 calls
HF: Form F  :       0.00u       0.00s   0.003768w     12 calls
HF: DIIS    :       1.02u       0.20s   1.771368w     12 calls
HF: Form C  :       0.83u       0.05s   0.490640w     12 calls
HF: Form D  :       0.02u       0.00s   0.011933w     12 calls

***********************************************************
