
Host: iw-c39-33-l.pace.gatech.edu

Timers On : Mon Apr 23 19:12:16 2018
Timers Off: Mon Apr 23 19:13:23 2018

Wall Time:       67.00 seconds

V: Grid     :       1.13u       0.02s 1.14781500w      1 call
JK: (A|mn)  :       6.72u       0.00s   3.364632w      6 calls
JK: (A|Q)^-1/2:       1.65u       0.07s   1.294746w      6 calls
JK: (Q|mn)  :       1.75u       0.00s   1.753982w      6 calls
HF: Form H  :       0.00u       0.00s 0.00260600w      1 call
HF: Form S/X:       0.02u       0.01s 0.01012400w      1 call
HF: Guess   :       0.86u       0.07s 0.47087800w      1 call
SAD Guess   :       0.86u       0.07s 0.46777000w      1 call
JK: D       :       0.02u       0.00s   0.004006w     45 calls
JK: USO2AO  :       0.00u       0.00s   0.001634w     45 calls
JK: JK      :      13.12u       0.71s   7.529546w     45 calls
JK: J       :       0.74u       0.04s   0.393963w     46 calls
JK: J1      :       0.35u       0.01s   0.185599w     80 calls
JK: J2      :       0.37u       0.03s   0.205352w     80 calls
JK: K       :      11.85u       0.22s   6.642444w     46 calls
JK: K1      :       7.06u       0.00s   3.529423w     80 calls
JK: K2      :       4.79u       0.22s   3.112278w     80 calls
JK: AO2USO  :       0.00u       0.00s   0.000049w     45 calls
DIISManager::add_entry:       0.15u       0.02s   0.354532w     44 calls
DIISManager::extrapolate:       0.44u       0.09s   0.752067w     43 calls
DIISManager::extrapolate: bMatrix setup:       0.44u       0.09s   0.741687w     43 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001119w     43 calls
DIISManager::extrapolate: form new data:       0.00u       0.00s   0.009012w     43 calls
HF: Form G  :      62.65u       0.98s      55.44w     11 calls
RKS: Form V :      49.50u       0.27s      47.90w     11 calls
V: D        :       0.00u       0.00s   0.003821w     11 calls
V: USO2AO   :       0.00u       0.00s   0.000772w     11 calls
V: V        :      49.49u       0.27s      47.89w     11 calls
Properties  :      31.93u       0.22s      31.02w   3223 calls
Points      :      24.96u       0.17s      23.90w   3223 calls
Functional  :      10.75u       0.03s      10.44w   3223 calls
V_XC        :       6.77u       0.01s   6.413678w   3223 calls
LSDA        :       5.28u       0.01s   4.965233w   6446 calls
GGA         :       1.38u       0.00s   1.284486w   3223 calls
V: AO2USO   :       0.00u       0.00s   0.000019w     11 calls
HF: Form F  :       0.00u       0.00s   0.001606w     11 calls
HF: DIIS    :       0.67u       0.11s   1.142847w     11 calls
HF: Form C  :       0.19u       0.00s   0.118692w     11 calls
HF: Form D  :       0.02u       0.00s   0.004065w     11 calls

***********************************************************

Host: iw-c39-34-l.pace.gatech.edu

Timers On : Mon Apr 23 19:12:49 2018
Timers Off: Mon Apr 23 19:13:56 2018

Wall Time:       67.00 seconds

V: Grid     :       1.13u       0.02s 1.14992600w      1 call
