
Host: iw-c39-29-l.pace.gatech.edu

Timers On : Mon Apr 23 21:40:45 2018
Timers Off: Mon Apr 23 21:42:04 2018

Wall Time:       79.00 seconds

V: Grid     :       1.12u       0.03s 1.15469600w      1 call
JK: (A|mn)  :       6.75u       0.00s   3.376016w      6 calls
JK: (A|Q)^-1/2:       1.66u       0.09s   1.304217w      6 calls
JK: (Q|mn)  :       1.81u       0.00s   1.814680w      6 calls
HF: Form H  :       0.00u       0.01s 0.56029500w      1 call
HF: Form S/X:       0.02u       0.00s 0.01108800w      1 call
HF: Guess   :       0.88u       0.06s 0.47218900w      1 call
SAD Guess   :       0.87u       0.06s 0.46901600w      1 call
JK: D       :       0.00u       0.00s   0.004359w     46 calls
JK: USO2AO  :       0.00u       0.00s   0.001774w     46 calls
JK: JK      :      14.13u       0.93s   8.010052w     46 calls
JK: J       :       0.84u       0.07s   0.454722w     47 calls
JK: J1      :       0.39u       0.02s   0.214621w     81 calls
JK: J2      :       0.44u       0.04s   0.236706w     81 calls
JK: K       :      12.74u       0.35s   7.014909w     47 calls
JK: K1      :       7.26u       0.01s   3.636030w     81 calls
JK: K2      :       5.48u       0.34s   3.378044w     81 calls
JK: AO2USO  :       0.00u       0.00s   0.000056w     46 calls
DIISManager::add_entry:       0.30u       0.05s   1.239946w     45 calls
DIISManager::extrapolate:       0.89u       0.16s   4.138405w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.70u       0.12s   2.476412w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.001224w     44 calls
DIISManager::extrapolate: form new data:       0.18u       0.04s   1.660467w     44 calls
HF: Form G  :      70.10u       1.32s      61.94w     12 calls
RKS: Form V :      55.96u       0.40s      53.92w     12 calls
V: D        :       0.01u       0.00s   0.004053w     12 calls
V: USO2AO   :       0.01u       0.00s   0.000823w     12 calls
V: V        :      55.93u       0.40s      53.91w     12 calls
Properties  :      36.81u       0.30s      34.98w   3528 calls
Points      :      28.41u       0.23s      26.82w   3528 calls
Functional  :      11.31u       0.02s      11.38w   3528 calls
V_XC        :       7.72u       0.07s   7.527002w   3528 calls
LSDA        :       6.11u       0.03s   5.871227w   7056 calls
GGA         :       1.44u       0.04s   1.471054w   3528 calls
V: AO2USO   :       0.00u       0.00s   0.000023w     12 calls
HF: Form F  :       0.01u       0.00s   0.001802w     12 calls
HF: DIIS    :       1.23u       0.21s   5.417609w     12 calls
HF: Form C  :       0.19u       0.00s   0.129981w     12 calls
HF: Form D  :       0.02u       0.00s   0.004333w     12 calls

***********************************************************
