
Host: rich133-c32-31-l.pace.gatech.edu

Timers On : Mon Apr 23 21:41:53 2018
Timers Off: Mon Apr 23 21:43:40 2018

Wall Time:      107.00 seconds

V: Grid     :       0.82u       0.03s 0.84186400w      1 call
JK: (A|mn)  :       5.49u       0.00s   2.742332w      6 calls
JK: (A|Q)^-1/2:       1.33u       0.06s   1.059531w      6 calls
JK: (Q|mn)  :       1.70u       0.00s   1.704698w      6 calls
HF: Form H  :       0.01u       0.00s 0.12684100w      1 call
HF: Form S/X:       0.02u       0.00s 0.00923300w      1 call
HF: Guess   :       0.41u       0.03s 0.22008300w      1 call
SAD Guess   :       0.41u       0.03s 0.21745700w      1 call
JK: D       :       0.00u       0.01s   0.006356w     54 calls
JK: USO2AO  :       0.02u       0.00s   0.002771w     54 calls
JK: JK      :      24.82u       1.27s      13.54w     54 calls
JK: J       :       1.57u       0.07s   0.827706w     55 calls
JK: J1      :       0.79u       0.02s   0.394951w     89 calls
JK: J2      :       0.78u       0.05s   0.427905w     89 calls
JK: K       :      22.41u       0.45s      11.90w     55 calls
JK: K1      :      13.95u       0.02s   6.974645w     89 calls
JK: K2      :       8.46u       0.43s   4.925054w     89 calls
JK: AO2USO  :       0.00u       0.00s   0.000050w     54 calls
DIISManager::add_entry:       0.19u       0.01s   0.949488w     53 calls
DIISManager::extrapolate:       1.01u       0.12s   3.142085w     52 calls
DIISManager::extrapolate: bMatrix setup:       0.90u       0.10s   3.019373w     52 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.001619w     52 calls
DIISManager::extrapolate: form new data:       0.10u       0.02s   0.120783w     52 calls
HF: Form G  :     108.23u       1.80s      93.53w     20 calls
RKS: Form V :      83.38u       0.52s      79.98w     20 calls
V: D        :       0.01u       0.00s   0.006059w     20 calls
V: USO2AO   :       0.00u       0.00s   0.001321w     20 calls
V: V        :      83.37u       0.52s      79.96w     20 calls
Properties  :      54.78u       0.30s      52.20w   5920 calls
Points      :      40.06u       0.18s      37.95w   5920 calls
Functional  :      14.97u       0.07s      14.37w   5920 calls
V_XC        :      13.59u       0.15s      13.35w   5920 calls
LSDA        :      10.05u       0.11s      10.02w  11840 calls
GGA         :       3.20u       0.01s   3.010653w   5920 calls
V: AO2USO   :       0.00u       0.00s   0.000035w     20 calls
HF: Form F  :       0.00u       0.00s   0.002716w     20 calls
HF: DIIS    :       1.34u       0.13s   4.151933w     20 calls
HF: Form C  :       0.29u       0.03s   0.191705w     20 calls
HF: Form D  :       0.04u       0.00s   0.006776w     20 calls

***********************************************************
