
Host: rich133-c32-21-r.pace.gatech.edu

Timers On : Mon Apr 23 21:42:42 2018
Timers Off: Mon Apr 23 21:43:45 2018

Wall Time:       63.00 seconds

V: Grid     :       0.77u       0.02s 0.78777700w      1 call
JK: (A|mn)  :       5.53u       0.00s   2.759299w      6 calls
JK: (A|Q)^-1/2:       1.31u       0.05s   1.031011w      6 calls
JK: (Q|mn)  :       1.62u       0.00s   1.617036w      6 calls
HF: Form H  :       0.00u       0.00s 0.00396200w      1 call
HF: Form S/X:       0.02u       0.00s 0.00881700w      1 call
HF: Guess   :       0.41u       0.02s 0.21854200w      1 call
SAD Guess   :       0.41u       0.02s 0.21599800w      1 call
JK: D       :       0.00u       0.01s   0.004216w     47 calls
JK: USO2AO  :       0.00u       0.00s   0.001788w     47 calls
JK: JK      :      13.56u       0.75s   7.419301w     47 calls
JK: J       :       0.94u       0.06s   0.474470w     48 calls
JK: J1      :       0.44u       0.03s   0.227400w     82 calls
JK: J2      :       0.50u       0.03s   0.243976w     82 calls
JK: K       :      12.05u       0.24s   6.424238w     48 calls
JK: K1      :       6.49u       0.01s   3.263561w     82 calls
JK: K2      :       5.56u       0.23s   3.159926w     82 calls
JK: AO2USO  :       0.00u       0.00s   0.000058w     47 calls
DIISManager::add_entry:       0.20u       0.02s   0.671641w     46 calls
DIISManager::extrapolate:       0.41u       0.05s   0.814943w     45 calls
DIISManager::extrapolate: bMatrix setup:       0.33u       0.04s   0.727710w     45 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.001157w     45 calls
DIISManager::extrapolate: form new data:       0.07u       0.01s   0.085842w     45 calls
HF: Form G  :      62.44u       1.10s      54.02w     13 calls
RKS: Form V :      48.88u       0.34s      46.59w     13 calls
V: D        :       0.00u       0.00s   0.003876w     13 calls
V: USO2AO   :       0.01u       0.00s   0.000832w     13 calls
V: V        :      48.87u       0.34s      46.59w     13 calls
Properties  :      32.06u       0.26s      30.59w   3822 calls
Points      :      24.19u       0.17s      22.88w   3822 calls
Functional  :       9.21u       0.02s   8.849589w   3822 calls
V_XC        :       7.58u       0.05s   7.116252w   3822 calls
LSDA        :       6.08u       0.02s   5.651292w   7644 calls
GGA         :       1.37u       0.02s   1.313124w   3822 calls
V: AO2USO   :       0.00u       0.00s   0.000019w     13 calls
HF: Form F  :       0.00u       0.01s   0.001854w     13 calls
HF: DIIS    :       0.67u       0.08s   1.524068w     13 calls
HF: Form C  :       0.22u       0.01s   0.117917w     13 calls
HF: Form D  :       0.01u       0.01s   0.003836w     13 calls

***********************************************************
