
Host: iw-p31-30-l.pace.gatech.edu

Timers On : Mon Apr 23 22:07:21 2018
Timers Off: Mon Apr 23 22:08:39 2018

Wall Time:       78.00 seconds

V: Grid     :       1.13u       0.02s 1.15245500w      1 call
JK: (A|mn)  :       7.12u       0.00s   3.560452w      6 calls
JK: (A|Q)^-1/2:       2.10u       0.10s   1.766206w      6 calls
JK: (Q|mn)  :       2.91u       0.00s   2.909376w      6 calls
HF: Form H  :       0.00u       0.00s 0.00258400w      1 call
HF: Form S/X:       0.03u       0.00s 0.01384700w      1 call
HF: Guess   :       0.78u       0.09s 0.43244500w      1 call
SAD Guess   :       0.77u       0.09s 0.42940500w      1 call
JK: D       :       0.01u       0.00s   0.005344w     46 calls
JK: USO2AO  :       0.00u       0.00s   0.001205w     46 calls
JK: JK      :      17.54u       1.00s      10.65w     46 calls
JK: J       :       0.72u       0.08s   0.393942w     47 calls
JK: J1      :       0.36u       0.04s   0.182332w     82 calls
JK: J2      :       0.35u       0.04s   0.208988w     82 calls
JK: K       :      16.09u       0.48s   9.639627w     47 calls
JK: K1      :       9.31u       0.01s   4.647265w     82 calls
JK: K2      :       6.78u       0.47s   4.991599w     82 calls
JK: AO2USO  :       0.00u       0.00s   0.000055w     46 calls
DIISManager::add_entry:       0.20u       0.06s   0.347828w     45 calls
DIISManager::extrapolate:       0.89u       0.12s   3.118282w     44 calls
DIISManager::extrapolate: bMatrix setup:       0.86u       0.12s   3.071557w     44 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001439w     44 calls
DIISManager::extrapolate: form new data:       0.03u       0.00s   0.044998w     44 calls
HF: Form G  :      71.05u       1.34s      62.33w     11 calls
RKS: Form V :      53.51u       0.34s      51.68w     11 calls
V: D        :       0.02u       0.00s   0.005044w     11 calls
V: USO2AO   :       0.00u       0.00s   0.000567w     11 calls
V: V        :      53.47u       0.34s      51.67w     11 calls
Properties  :      33.52u       0.20s      32.26w   3256 calls
Points      :      23.59u       0.13s      22.58w   3256 calls
Functional  :      10.68u       0.08s      10.15w   3256 calls
V_XC        :       9.26u       0.06s   9.236764w   3256 calls
LSDA        :       7.55u       0.04s   7.453878w   6512 calls
GGA         :       1.59u       0.01s   1.626174w   3256 calls
V: AO2USO   :       0.00u       0.00s   0.000017w     11 calls
HF: Form F  :       0.00u       0.00s   0.001565w     11 calls
HF: DIIS    :       1.19u       0.19s   3.519062w     11 calls
HF: Form C  :       0.22u       0.03s   0.159812w     11 calls
HF: Form D  :       0.02u       0.00s   0.005299w     11 calls

***********************************************************
