
Host: iw-k30-13.pace.gatech.edu

Timers On : Mon Apr 23 22:00:30 2018
Timers Off: Mon Apr 23 22:03:13 2018

Wall Time:      163.00 seconds

V: Grid     :       2.37u       0.03s 2.40719700w      1 call
JK: (A|mn)  :      19.76u       0.00s   9.882337w      6 calls
JK: (A|Q)^-1/2:       6.49u       0.07s   6.044559w      6 calls
JK: (Q|mn)  :       4.12u       0.00s   4.113455w      6 calls
HF: Form H  :       0.00u       0.00s 0.00956200w      1 call
HF: Form S/X:       0.08u       0.01s 0.04152200w      1 call
HF: Guess   :       1.06u       0.06s 0.56469200w      1 call
SAD Guess   :       1.05u       0.06s 0.55922700w      1 call
JK: D       :       0.04u       0.00s   0.013135w     47 calls
JK: USO2AO  :       0.00u       0.00s   0.002456w     47 calls
JK: JK      :      42.45u       1.04s      25.32w     47 calls
JK: J       :       1.77u       0.08s   1.022759w     48 calls
JK: J1      :       0.97u       0.05s   0.528241w     83 calls
JK: J2      :       0.78u       0.03s   0.488605w     83 calls
JK: K       :      38.58u       0.24s      22.90w     48 calls
JK: K1      :      26.77u       0.00s      13.38w     83 calls
JK: K2      :      11.81u       0.24s   9.516498w     83 calls
JK: AO2USO  :       0.00u       0.00s   0.000110w     47 calls
DIISManager::add_entry:       0.21u       0.02s   0.248402w     46 calls
DIISManager::extrapolate:       0.67u       0.09s   2.581886w     45 calls
DIISManager::extrapolate: bMatrix setup:       0.65u       0.07s   2.559713w     45 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.01u       0.00s   0.002063w     45 calls
DIISManager::extrapolate: form new data:       0.01u       0.02s   0.019527w     45 calls
HF: Form G  :     152.08u       1.32s     132.92w     12 calls
RKS: Form V :     109.62u       0.29s     107.60w     12 calls
V: D        :       0.05u       0.00s   0.012535w     12 calls
V: USO2AO   :       0.00u       0.00s   0.001142w     12 calls
V: V        :     109.56u       0.28s     107.58w     12 calls
Properties  :      66.06u       0.21s      64.57w   3540 calls
Points      :      45.04u       0.10s      43.76w   3540 calls
Functional  :      20.54u       0.01s      20.29w   3540 calls
V_XC        :      22.92u       0.04s      22.67w   3540 calls
LSDA        :      18.66u       0.01s      18.32w   7080 calls
GGA         :       3.94u       0.01s   4.008645w   3540 calls
V: AO2USO   :       0.00u       0.00s   0.000033w     12 calls
HF: Form F  :       0.00u       0.00s   0.003021w     12 calls
HF: DIIS    :       1.13u       0.14s   2.972698w     12 calls
HF: Form C  :       0.84u       0.02s   0.507409w     12 calls
HF: Form D  :       0.01u       0.00s   0.010838w     12 calls

***********************************************************
