
Host: rich133-c34-16-r.pace.gatech.edu

Timers On : Mon Apr 23 21:41:48 2018
Timers Off: Mon Apr 23 21:43:28 2018

Wall Time:      100.00 seconds

V: Grid     :       0.80u       0.02s 0.82092100w      1 call
JK: (A|mn)  :       5.70u       0.00s   2.851019w      6 calls
JK: (A|Q)^-1/2:       1.31u       0.04s   1.018713w      6 calls
JK: (Q|mn)  :       1.60u       0.00s   1.594437w      6 calls
HF: Form H  :       0.00u       0.00s 0.42051500w      1 call
HF: Form S/X:       0.02u       0.01s 0.00984400w      1 call
HF: Guess   :       0.41u       0.03s 0.22053100w      1 call
SAD Guess   :       0.41u       0.03s 0.21789600w      1 call
JK: D       :       0.02u       0.00s   0.006431w     55 calls
JK: USO2AO  :       0.01u       0.00s   0.002895w     55 calls
JK: JK      :      24.46u       1.35s      13.26w     55 calls
JK: J       :       1.38u       0.07s   0.741026w     56 calls
JK: J1      :       0.68u       0.04s   0.353294w     90 calls
JK: J2      :       0.70u       0.03s   0.382914w     90 calls
JK: K       :      22.18u       0.48s      11.66w     56 calls
JK: K1      :      13.48u       0.01s   6.743343w     90 calls
JK: K2      :       8.69u       0.47s   4.914791w     90 calls
JK: AO2USO  :       0.00u       0.00s   0.000056w     55 calls
DIISManager::add_entry:       0.19u       0.02s   0.412107w     54 calls
DIISManager::extrapolate:       0.63u       0.12s   2.476125w     53 calls
DIISManager::extrapolate: bMatrix setup:       0.63u       0.09s   2.455178w     53 calls
DIISManager::extrapolate: bMatrix pseudoinverse:       0.00u       0.00s   0.001702w     53 calls
DIISManager::extrapolate: form new data:       0.00u       0.03s   0.018955w     53 calls
HF: Form G  :     103.23u       1.89s      88.31w     21 calls
RKS: Form V :      78.74u       0.54s      75.04w     21 calls
V: D        :       0.00u       0.00s   0.006179w     21 calls
V: USO2AO   :       0.01u       0.00s   0.001438w     21 calls
V: V        :      78.72u       0.54s      75.03w     21 calls
Properties  :      51.42u       0.29s      48.84w   6195 calls
Points      :      37.30u       0.21s      35.70w   6195 calls
Functional  :      14.32u       0.08s      13.96w   6195 calls
V_XC        :      12.88u       0.15s      12.18w   6195 calls
LSDA        :       9.79u       0.07s   9.280246w  12390 calls
GGA         :       2.84u       0.04s   2.617737w   6195 calls
V: AO2USO   :       0.00u       0.00s   0.000030w     21 calls
HF: Form F  :       0.00u       0.00s   0.003094w     21 calls
HF: DIIS    :       0.94u       0.14s   2.948381w     21 calls
HF: Form C  :       0.33u       0.01s   0.191761w     21 calls
HF: Form D  :       0.01u       0.00s   0.006679w     21 calls

***********************************************************
